"";"Andriy Lunin";"Aurelien Tchouameni";"Brahim Diaz";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Lucas Vazquez";"Nacho Fernandez";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;3;1;4;0;0;3;0;0;6;1;3;0
"Aurelien Tchouameni";2;0;2;10;2;5;0;0;1;4;2;7;0
"Brahim Diaz";0;1;0;6;3;3;4;0;0;1;3;2;6
"Dani Carvajal";0;5;9;0;4;16;0;0;1;3;5;11;1
"Eduardo Camavinga";0;4;2;3;0;5;15;0;0;5;2;15;7
"Federico Valverde";2;6;5;9;4;0;2;2;0;0;7;9;2
"Ferland Mendy";3;1;4;0;16;1;0;0;0;8;5;7;15
"Joselu";0;0;0;0;0;2;1;0;3;0;0;0;1
"Lucas Vazquez";0;1;0;1;0;1;0;2;0;0;0;0;0
"Nacho Fernandez";6;4;0;0;2;2;10;0;1;0;0;9;2
"Rodrygo";0;0;3;5;5;6;1;0;0;0;0;2;6
"Toni Kroos";1;11;5;3;21;10;10;0;0;5;4;0;3
"Vinicius Junior";0;0;5;0;6;0;5;0;0;0;4;2;0
