"";"Abdulkerim Bardakci";"Angelino";"Baris Yilmaz";"Davinson Sanchez";"Dries Mertens";"Fernando Muslera";"Kaan Ayhan";"Kerem Akturkoglu";"Lucas Torreira";"Mateus Tete";"Mauro Icardi";"Sacha Boey";"Sergio Oliveira";"Tanguy Ndombele";"Victor Nelsson";"Wilfried Zaha"
"Abdulkerim Bardakci";0;9;0;5;0;8;1;0;0;0;0;1;0;2;0;2
"Angelino";7;0;0;2;0;3;3;4;2;0;0;0;0;0;0;8
"Baris Yilmaz";0;0;0;0;0;0;0;1;0;0;1;1;3;1;0;0
"Davinson Sanchez";4;1;0;0;0;5;2;1;2;4;2;5;2;1;1;0
"Dries Mertens";0;0;1;1;0;0;0;1;0;0;1;0;1;0;0;0
"Fernando Muslera";4;2;0;7;0;0;0;0;0;0;0;1;0;0;0;0
"Kaan Ayhan";5;1;0;2;0;0;0;1;0;3;0;1;0;0;0;0
"Kerem Akturkoglu";2;1;0;0;3;0;1;0;0;2;0;1;0;0;0;3
"Lucas Torreira";2;2;0;2;0;0;0;4;0;0;1;2;0;0;0;2
"Mateus Tete";0;1;0;5;0;1;1;1;0;0;2;4;0;0;0;1
"Mauro Icardi";1;0;1;0;1;0;3;2;1;1;0;2;1;0;0;1
"Sacha Boey";0;1;2;6;1;1;1;2;3;11;4;0;2;0;0;0
"Sergio Oliveira";0;0;3;0;0;1;0;0;0;0;1;1;0;0;1;0
"Tanguy Ndombele";0;0;0;1;1;0;0;2;0;0;0;0;1;0;1;0
"Victor Nelsson";0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0
"Wilfried Zaha";0;4;1;0;0;0;0;4;3;0;0;0;0;0;0;0
