"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Emile Smith Rowe";"Fabio Vieira";"Gabriel Jesus";"Gabriel Magalhaes";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"Oleksandr Zinchenko";"Reiss Nelson";"Takehiro Tomiyasu";"William Saliba"
"Ben White";0;8;7;2;0;7;5;2;0;1;0;12;1;1;0;11
"Bukayo Saka";4;0;0;1;0;0;2;1;0;0;2;11;0;1;0;2
"David Raya";0;0;0;9;0;0;0;9;0;0;0;5;1;0;1;3
"Declan Rice";7;0;3;0;0;0;3;3;0;1;1;7;12;0;0;5
"Emile Smith Rowe";0;0;0;0;0;0;0;2;1;0;0;1;0;8;2;1
"Fabio Vieira";4;0;0;0;1;0;0;0;1;1;0;3;0;2;0;0
"Gabriel Jesus";1;4;1;2;0;0;0;0;0;2;1;2;0;0;0;0
"Gabriel Magalhaes";1;0;9;5;1;0;2;0;1;1;4;2;5;4;2;11
"Jorginho";1;0;0;0;2;1;0;2;0;1;0;3;0;0;1;4
"Kai Havertz";3;2;0;1;2;0;0;1;1;0;3;3;3;1;1;0
"Leandro Trossard";1;0;1;5;0;0;2;1;0;2;0;1;5;0;0;0
"Martin Odegaard";10;10;1;2;1;3;2;3;2;4;5;0;5;3;1;7
"Oleksandr Zinchenko";2;0;1;7;0;0;0;6;0;3;5;8;0;0;0;8
"Reiss Nelson";2;0;0;1;4;1;0;4;2;3;0;2;0;0;3;0
"Takehiro Tomiyasu";1;0;0;1;6;0;0;2;0;0;0;1;0;5;0;3
"William Saliba";16;3;8;7;0;1;0;7;4;0;2;5;0;0;4;0
