"";"Alistair Johnston";"Callum McGregor";"Cameron Carter-Vickers";"David Turnbull";"Greg Taylor";"Hyeon-gyu Oh";"Hyun-jun Yang";"James Forrest";"Joe Hart";"Kyogo Furuhashi";"Liam Scales";"Matt O'Riley";"Mikey Johnston";"Paulo Bernardo"
"Alistair Johnston";0;7;15;0;0;0;12;0;0;2;3;7;0;1
"Callum McGregor";5;0;17;0;9;0;2;1;0;2;12;5;2;2
"Cameron Carter-Vickers";32;8;0;0;2;0;2;1;4;0;42;5;0;1
"David Turnbull";0;1;1;0;0;0;0;0;0;0;0;0;0;0
"Greg Taylor";0;12;3;0;0;0;0;10;2;1;30;3;9;9
"Hyeon-gyu Oh";0;1;1;0;0;0;0;0;0;0;0;0;1;0
"Hyun-jun Yang";3;6;2;0;0;1;0;0;0;1;0;5;0;4
"James Forrest";0;1;0;0;5;0;1;0;0;0;5;0;0;3
"Joe Hart";1;0;10;0;3;0;0;0;0;0;12;0;0;1
"Kyogo Furuhashi";2;0;0;1;0;0;0;0;0;0;1;0;1;0
"Liam Scales";1;4;39;0;46;0;0;9;7;1;0;1;2;2
"Matt O'Riley";4;5;4;0;3;1;6;0;0;1;0;0;2;1
"Mikey Johnston";1;4;1;0;2;2;0;0;0;0;2;0;0;0
"Paulo Bernardo";0;2;0;0;3;0;1;3;0;1;5;2;0;0
