"";"Ederson";"Erling Haaland";"Jacob Wright";"John Stones";"Josko Gvardiol";"Julian Alvarez";"Manuel Akanji";"Mateo Kovacic";"Matheus Nunes";"Micah Hamilton";"Oscar Bobb";"Rico Lewis";"Rodri";"Ruben Dias";"Sergio Gomez"
"Ederson";0;0;0;2;3;0;9;1;0;0;0;1;1;10;1
"Erling Haaland";0;0;0;0;0;6;1;1;1;0;0;1;0;0;0
"Jacob Wright";0;0;0;0;0;1;2;1;0;0;0;0;0;0;0
"John Stones";2;0;1;0;6;1;1;7;1;0;0;4;0;0;5
"Josko Gvardiol";6;0;0;4;0;7;3;20;2;1;7;0;8;21;12
"Julian Alvarez";1;1;0;0;5;0;1;13;2;2;1;4;4;3;6
"Manuel Akanji";4;1;1;4;2;2;0;8;10;0;5;21;5;31;2
"Mateo Kovacic";0;4;1;13;21;12;8;0;1;0;7;3;12;19;8
"Matheus Nunes";0;0;0;0;0;1;10;1;0;0;2;8;2;2;0
"Micah Hamilton";0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
"Oscar Bobb";1;2;1;0;5;4;5;2;1;0;0;2;1;0;8
"Rico Lewis";2;0;1;0;1;2;13;6;6;0;6;0;4;8;1
"Rodri";0;1;0;0;2;4;5;12;5;0;1;2;0;10;0
"Ruben Dias";8;0;0;0;31;2;25;29;3;0;1;1;11;0;2
"Sergio Gomez";1;0;0;2;12;6;1;6;0;1;9;2;0;4;0
