"";"Adam Marusic";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Danilo Cataldi";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luca Pellegrini";"Luis Alberto";"Manuel Lazzari";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Patric Gil";"Pedro Rodriguez"
"Adam Marusic";0;6;0;7;1;3;0;2;0;8;0;6;0;8;6;5
"Alessio Romagnoli";13;0;0;2;2;0;0;2;7;16;2;6;1;1;7;0
"Ciro Immobile";0;0;0;2;0;0;1;0;0;5;0;4;0;0;0;0
"Daichi Kamada";6;4;1;0;0;1;0;0;1;0;1;3;0;0;7;0
"Danilo Cataldi";1;0;0;0;0;0;0;0;0;5;2;0;2;0;0;1
"Felipe Anderson";1;0;1;5;0;0;0;0;0;1;3;3;0;0;2;0
"Gustav Isaksen";0;2;0;0;0;0;0;0;0;0;2;0;7;0;3;0
"Ivan Provedel";2;3;0;0;0;0;0;0;2;0;1;1;0;0;5;0
"Luca Pellegrini";0;6;1;0;0;1;0;1;0;9;0;2;0;12;3;0
"Luis Alberto";9;10;5;1;0;1;0;0;8;0;1;11;1;18;2;7
"Manuel Lazzari";0;2;0;0;0;6;8;0;0;1;0;2;3;0;9;0
"Matias Vecino";7;3;0;6;0;1;0;0;6;7;2;0;1;2;6;0
"Matteo Guendouzi";0;0;1;0;3;0;6;0;0;0;6;0;0;0;2;1
"Mattia Zaccagni";2;3;2;1;0;1;0;0;5;14;0;4;0;0;1;0
"Patric Gil";10;11;0;3;3;3;1;3;7;6;7;5;4;1;0;1
"Pedro Rodriguez";2;1;1;0;1;0;0;0;0;6;1;0;0;0;2;0
