"";"Bernardo Silva";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"Josko Gvardiol";"Julian Alvarez";"Kyle Walker";"Manuel Akanji";"Nathan Ake";"Phil Foden";"Rico Lewis";"Rodri";"Ruben Dias";"Sergio Gomez";"Stefan Ortega"
"Bernardo Silva";0;3;0;0;1;3;4;16;0;1;4;5;0;0;0
"Erling Haaland";1;0;2;0;0;1;0;2;0;2;0;0;0;0;0
"Jack Grealish";0;1;0;0;10;0;1;1;0;1;1;7;1;0;0
"Jeremy Doku";0;0;0;0;10;1;0;1;3;7;0;2;0;0;0
"Josko Gvardiol";0;0;10;11;0;2;0;3;13;16;9;31;16;0;3
"Julian Alvarez";3;0;0;6;2;0;0;2;1;2;1;3;0;1;0
"Kyle Walker";6;0;0;0;0;0;0;9;0;0;1;5;4;0;3
"Manuel Akanji";12;1;1;0;4;3;2;0;12;4;3;35;12;0;10
"Nathan Ake";0;0;0;5;13;1;0;11;0;6;3;21;0;2;8
"Phil Foden";1;3;5;5;11;2;0;0;5;0;2;13;2;0;2
"Rico Lewis";4;2;1;2;2;7;2;9;4;5;0;3;1;0;0
"Rodri";11;3;3;2;26;5;9;28;16;10;11;0;7;0;5
"Ruben Dias";0;1;3;0;18;0;6;8;0;6;0;7;0;0;1
"Sergio Gomez";0;0;0;2;0;0;0;0;2;0;1;0;0;0;0
"Stefan Ortega";1;1;0;0;5;0;1;5;10;0;1;7;3;1;0
