"";"Adam Marusic";"Alessio Romagnoli";"Ciro Immobile";"Danilo Cataldi";"Elseid Hysaj";"Felipe Anderson";"Ivan Provedel";"Luis Alberto";"Manuel Lazzari";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Nicolo Casale";"Nicolo Rovella";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;7;3;1;0;1;6;15;0;4;1;11;2;3;0;0
"Alessio Romagnoli";16;0;0;0;0;0;3;10;1;0;1;5;16;7;1;0
"Ciro Immobile";0;0;0;0;1;3;0;1;0;1;0;3;0;1;0;0
"Danilo Cataldi";0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0
"Elseid Hysaj";0;0;1;0;0;10;2;2;0;5;0;0;5;3;0;0
"Felipe Anderson";0;1;1;0;7;0;0;1;4;0;1;1;3;0;0;0
"Ivan Provedel";3;7;0;0;1;0;0;1;2;0;1;0;7;0;0;0
"Luis Alberto";9;8;1;1;1;3;0;0;1;5;0;12;9;2;0;0
"Manuel Lazzari";1;3;0;0;0;4;1;1;0;0;2;1;12;0;4;2
"Matias Vecino";3;2;1;0;3;0;0;6;2;0;3;1;3;1;0;2
"Matteo Guendouzi";0;2;0;0;0;2;2;2;7;0;0;2;3;0;1;2
"Mattia Zaccagni";2;2;2;0;0;0;0;12;0;3;0;0;1;2;0;1
"Nicolo Casale";6;19;2;0;7;3;7;4;9;6;7;0;0;3;1;1
"Nicolo Rovella";3;4;0;0;3;1;1;5;0;3;0;1;7;0;0;0
"Pedro Rodriguez";0;1;0;0;0;0;0;0;2;0;2;0;1;0;0;0
"Taty Castellanos";0;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0
