"";"Aissa Laidouni";"Alex Kral";"Brenden Aaronson";"Christopher Trimmel";"Diogo Leite";"Frederik Ronnow";"Janik Haberer";"Jerome Roussillon";"Josip Juranovic";"Kevin Behrens";"Kevin Volland";"Paul Jaeckel";"Rani Khedira";"Robin Gosens";"Robin Knoche";"Sheraldo Becker"
"Aissa Laidouni";0;1;2;1;0;0;0;1;0;1;0;0;0;0;0;2
"Alex Kral";0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0
"Brenden Aaronson";2;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
"Christopher Trimmel";1;0;2;0;0;0;1;0;0;1;0;0;0;0;1;0
"Diogo Leite";0;0;0;0;0;2;3;3;0;0;2;2;6;2;2;0
"Frederik Ronnow";0;0;0;0;2;0;1;0;1;0;0;1;2;1;5;0
"Janik Haberer";1;0;1;0;5;0;0;0;2;3;4;5;2;0;3;1
"Jerome Roussillon";1;0;0;0;2;0;2;0;0;1;1;0;1;5;1;0
"Josip Juranovic";0;2;0;0;1;2;2;1;0;1;1;3;1;0;5;0
"Kevin Behrens";2;0;1;0;0;0;0;1;2;0;1;1;1;1;0;0
"Kevin Volland";2;0;0;0;1;0;0;1;2;4;0;0;0;0;0;0
"Paul Jaeckel";0;0;0;0;0;3;2;0;4;1;0;0;2;1;4;0
"Rani Khedira";0;0;0;0;3;1;3;2;1;1;0;2;0;2;4;0
"Robin Gosens";0;0;0;0;4;0;1;2;1;3;0;0;1;0;1;0
"Robin Knoche";1;1;1;1;5;2;4;1;4;1;0;5;3;2;0;0
"Sheraldo Becker";2;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0
