"";"Anthony Racioppi";"Aurele Amenda";"Cedric Itten";"Cheikh Niasse";"Darian Males";"Filip Ugrinic";"Joel Monteiro";"Loris Benito";"Meschack Elia";"Miguel Chaiwa";"Mohamed Ali Camara";"Saidy Janko";"Silvere Ganvoula";"Ulisses Garcia"
"Anthony Racioppi";0;1;0;1;0;0;1;7;0;0;5;0;0;1
"Aurele Amenda";1;0;0;0;0;0;0;0;0;0;0;0;0;3
"Cedric Itten";0;0;0;1;1;0;1;0;1;0;0;1;0;0
"Cheikh Niasse";1;0;0;0;1;3;1;3;5;0;5;2;0;5
"Darian Males";0;0;0;1;0;0;0;2;0;0;0;0;0;2
"Filip Ugrinic";1;0;1;5;1;0;1;0;1;0;0;2;0;5
"Joel Monteiro";0;0;0;1;2;3;0;0;1;0;0;3;0;1
"Loris Benito";5;0;1;2;0;1;0;0;5;0;3;0;0;11
"Meschack Elia";0;0;1;2;2;1;1;1;0;0;1;1;0;4
"Miguel Chaiwa";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Mohamed Ali Camara";4;1;0;2;1;1;1;5;0;0;0;2;0;2
"Saidy Janko";1;0;4;3;0;1;7;0;0;0;2;0;0;0
"Silvere Ganvoula";0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ulisses Garcia";2;0;4;2;1;5;2;6;5;0;4;0;2;0
