"";"Andreas Cornelius";"Birger Meling";"Denis Vavro";"Elias Achouri";"Elias Jelert";"Kamil Grabara";"Kevin Diks";"Magnus Mattsson";"Mohamed Elyounoussi";"Orri Oskarsson";"Oscar Hojlund";"Peter Ankersen";"Roony Bardghji";"Scott McKenna";"Victor Froholdt";"William Clem"
"Andreas Cornelius";0;1;1;0;0;0;0;3;1;0;0;1;1;0;0;0
"Birger Meling";0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0
"Denis Vavro";1;0;0;1;0;6;7;1;0;2;0;8;1;4;1;1
"Elias Achouri";0;0;1;0;3;0;0;0;3;2;0;0;0;4;1;2
"Elias Jelert";0;0;0;6;0;1;3;2;4;0;1;0;1;13;0;1
"Kamil Grabara";0;0;5;0;1;0;1;0;0;0;0;1;0;8;0;0
"Kevin Diks";1;0;5;1;5;3;0;1;4;2;1;1;0;3;0;2
"Magnus Mattsson";1;0;0;0;0;0;0;0;4;0;0;0;1;0;0;0
"Mohamed Elyounoussi";1;0;1;2;6;0;2;0;0;1;3;2;1;4;0;3
"Orri Oskarsson";0;0;0;2;1;0;0;0;1;0;0;1;0;0;1;0
"Oscar Hojlund";0;1;0;0;2;1;1;0;1;0;0;4;0;2;0;0
"Peter Ankersen";0;0;12;1;0;0;0;0;0;3;1;0;3;0;4;1
"Roony Bardghji";0;0;0;0;1;0;1;1;3;0;1;1;0;1;0;1
"Scott McKenna";0;2;2;2;13;5;11;1;5;0;1;0;0;0;1;4
"Victor Froholdt";0;0;2;0;0;0;0;0;0;0;0;4;0;0;0;0
"William Clem";0;0;2;1;2;2;1;0;1;0;0;1;0;5;0;0
