"";"Bernardo Silva";"Erling Haaland";"Jack Grealish";"John Stones";"Josko Gvardiol";"Julian Alvarez";"Manuel Akanji";"Mateo Kovacic";"Phil Foden";"Rodri";"Ruben Dias";"Stefan Ortega"
"Bernardo Silva";0;1;1;3;1;1;18;4;11;12;3;3
"Erling Haaland";3;0;2;0;0;0;0;1;0;0;0;0
"Jack Grealish";0;1;0;3;8;1;1;4;0;7;1;1
"John Stones";6;0;1;0;9;0;6;6;8;13;7;4
"Josko Gvardiol";1;2;15;8;0;0;0;9;1;14;14;5
"Julian Alvarez";1;0;1;0;1;0;0;0;0;0;0;0
"Manuel Akanji";14;1;0;9;2;1;0;2;15;20;18;0
"Mateo Kovacic";4;2;4;4;14;0;2;0;4;20;6;2
"Phil Foden";9;2;1;6;4;0;7;6;0;7;1;0
"Rodri";10;1;4;14;10;0;16;25;9;0;9;2
"Ruben Dias";9;0;3;6;7;0;19;6;3;13;0;11
"Stefan Ortega";1;0;2;2;2;0;2;1;0;7;11;0
