"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Eddie Nketiah";"Gabriel Jesus";"Gabriel Magalhaes";"Gabriel Martinelli";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"Takehiro Tomiyasu";"William Saliba"
"Ben White";0;10;1;4;1;2;2;0;4;0;0;10;1;15
"Bukayo Saka";8;0;1;3;0;0;0;0;1;0;0;5;1;1
"David Raya";1;0;0;2;0;1;3;0;1;0;0;0;0;3
"Declan Rice";5;4;1;0;1;2;5;3;9;3;2;2;5;7
"Eddie Nketiah";0;0;0;0;0;0;1;0;0;0;1;0;0;0
"Gabriel Jesus";0;1;0;1;0;0;0;0;0;0;0;2;0;0
"Gabriel Magalhaes";0;0;2;8;0;0;0;3;6;3;0;0;8;28
"Gabriel Martinelli";1;0;0;5;0;0;5;0;0;0;0;3;2;0
"Jorginho";4;1;1;2;0;0;2;1;0;4;0;8;1;16
"Kai Havertz";1;1;0;4;0;0;0;1;1;0;3;3;1;0
"Leandro Trossard";0;0;0;0;1;0;1;0;0;1;0;0;1;1
"Martin Odegaard";7;3;0;5;0;0;2;0;2;3;1;0;3;2
"Takehiro Tomiyasu";0;0;0;3;0;1;7;10;1;2;1;1;0;4
"William Saliba";21;2;0;12;0;1;23;0;15;2;1;4;4;0
