"";"Alex Meret";"Amir Rrahmani";"Eljif Elmas";"Giacomo Raspadori";"Gianluca Gaetano";"Giovanni Di Lorenzo";"Jens Cajuste";"Juan Jesus";"Khvicha Kvaratskhelia";"Leo Ostigard";"Matteo Politano";"Natan";"Piotr Zielinski";"Stanislav Lobotka";"Victor Osimhen";"Zambo Anguissa"
"Alex Meret";0;13;0;0;0;2;0;4;0;2;0;3;0;0;0;0
"Amir Rrahmani";5;0;1;0;0;6;4;15;0;1;1;0;2;3;0;4
"Eljif Elmas";0;1;0;0;1;1;1;0;2;1;0;0;0;0;0;3
"Giacomo Raspadori";0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;0
"Gianluca Gaetano";0;1;1;1;0;1;3;0;3;1;0;1;0;0;0;0
"Giovanni Di Lorenzo";0;7;4;0;1;0;3;3;0;0;8;0;4;7;2;9
"Jens Cajuste";1;0;2;0;0;5;0;0;1;0;0;0;0;0;0;2
"Juan Jesus";7;8;0;0;0;0;0;0;0;0;0;10;7;6;0;1
"Khvicha Kvaratskhelia";0;1;1;1;6;0;0;0;0;0;5;9;2;3;2;3
"Leo Ostigard";0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;2
"Matteo Politano";0;1;0;0;0;2;0;1;3;0;0;0;3;2;1;3
"Natan";3;2;0;0;2;0;0;8;15;0;0;0;4;2;3;4
"Piotr Zielinski";0;2;0;0;0;5;0;5;3;0;2;4;0;2;1;1
"Stanislav Lobotka";0;5;0;0;0;5;0;2;1;0;2;5;2;0;0;7
"Victor Osimhen";0;0;1;0;0;1;0;0;1;0;1;0;1;0;0;2
"Zambo Anguissa";1;3;1;0;2;8;1;3;7;1;6;4;3;4;2;0
