"";"Andreas Christensen";"Fermin Lopez";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Oriol Romeu";"Pau Cubarsi";"Raphinha";"Robert Lewandowski";"Ronald Araujo";"Sergi Roberto"
"Andreas Christensen";0;3;4;0;0;0;0;1;0;2;0;1;2;0
"Fermin Lopez";2;0;3;2;0;2;1;2;0;0;0;2;0;0
"Ilkay Gundogan";3;3;0;2;0;9;10;1;0;6;2;5;4;3
"Joao Cancelo";0;0;9;0;1;0;0;1;1;12;7;1;1;5
"Joao Felix";0;0;0;3;0;0;0;0;0;0;0;0;0;0
"Jules Kounde";2;4;4;0;0;0;5;2;2;0;0;2;10;2
"Lamine Yamal";1;1;6;0;0;5;0;1;3;0;1;2;0;2
"Marc-Andre ter Stegen";1;1;1;2;0;4;1;0;0;12;1;0;5;0
"Oriol Romeu";0;0;2;0;1;0;1;0;0;6;1;0;0;1
"Pau Cubarsi";1;0;8;19;0;3;0;10;0;0;0;1;8;3
"Raphinha";0;1;3;6;0;0;2;0;1;3;0;1;0;2
"Robert Lewandowski";0;1;3;2;0;0;0;0;0;0;4;0;0;0
"Ronald Araujo";0;2;4;0;1;9;2;6;1;7;0;0;0;0
"Sergi Roberto";0;0;5;1;0;0;4;1;4;2;2;1;1;0
