"";"Emre Can";"Gregor Kobel";"Ian Maatsen";"Jadon Sancho";"Jamie Bynoe-Gittens";"Julian Brandt";"Julian Ryerson";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Mats Hummels";"Niclas Fullkrug";"Nico Schlotterbeck";"Salih Ozcan"
"Emre Can";0;1;6;7;1;8;8;1;1;0;7;0;6;0
"Gregor Kobel";0;0;3;0;0;0;4;0;0;0;3;0;7;0
"Ian Maatsen";7;3;0;10;1;12;1;3;1;0;2;1;21;0
"Jadon Sancho";2;0;6;0;0;8;8;0;3;0;2;4;0;0
"Jamie Bynoe-Gittens";0;1;1;1;0;1;0;0;0;0;0;0;0;0
"Julian Brandt";7;1;10;6;1;0;3;2;3;0;4;3;12;0
"Julian Ryerson";6;2;1;6;1;1;0;5;1;3;24;1;1;0
"Karim Adeyemi";1;2;1;0;0;3;2;0;0;0;1;2;1;0
"Marcel Sabitzer";1;1;2;3;0;1;2;1;0;0;0;2;2;0
"Marco Reus";0;0;0;0;0;0;1;0;0;0;0;0;0;0
"Mats Hummels";6;1;7;4;0;4;12;2;1;0;0;0;25;1
"Niclas Fullkrug";1;0;1;1;0;4;1;3;3;0;1;0;1;0
"Nico Schlotterbeck";16;5;17;2;0;9;3;0;4;0;14;2;0;0
"Salih Ozcan";1;0;0;0;0;0;0;0;0;0;0;1;0;0
