"";"Donyell Malen";"Emre Can";"Felix Nmecha";"Gregor Kobel";"Ian Maatsen";"Jadon Sancho";"Julian Brandt";"Karim Adeyemi";"Marcel Sabitzer";"Marco Reus";"Mats Hummels";"Niclas Fullkrug";"Niklas Sule";"Salih Ozcan"
"Donyell Malen";0;1;0;0;0;1;6;0;1;0;1;4;4;5
"Emre Can";3;0;1;11;4;0;2;0;2;0;10;2;5;1
"Felix Nmecha";0;0;0;0;2;3;0;1;1;0;1;2;0;1
"Gregor Kobel";0;14;0;0;2;0;0;0;3;0;14;0;1;2
"Ian Maatsen";0;3;4;4;0;5;0;0;7;0;7;4;0;5
"Jadon Sancho";3;1;3;0;5;0;4;0;3;0;0;3;0;2
"Julian Brandt";4;3;0;0;1;2;0;0;2;0;0;2;4;1
"Karim Adeyemi";0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Marcel Sabitzer";4;4;0;1;7;4;2;0;0;0;5;1;0;5
"Marco Reus";0;0;1;0;0;0;0;1;0;0;0;0;0;0
"Mats Hummels";0;5;0;11;8;3;1;0;9;0;0;0;1;7
"Niclas Fullkrug";3;0;4;0;2;4;1;0;5;1;0;0;2;1
"Niklas Sule";5;4;0;1;0;3;4;0;1;0;5;2;0;6
"Salih Ozcan";3;7;1;1;2;1;4;0;1;0;7;2;4;0
