"";"Alvaro Morata";"Angel Correa";"Antoine Griezmann";"Axel Witsel";"Cesar Azpilicueta";"Ilias Kostis";"Jan Oblak";"Javi Galan";"Koke";"Marcos Llorente";"Mario Hermoso";"Nahuel Molina";"Rodrigo de Paul";"Rodrigo Riquelme";"Samuel Lino";"Saul Niguez"
"Alvaro Morata";0;0;1;2;1;0;0;1;1;0;0;1;1;0;1;3
"Angel Correa";0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1
"Antoine Griezmann";0;0;0;1;2;0;0;0;6;0;1;2;1;0;2;1
"Axel Witsel";0;0;4;0;16;0;4;3;6;1;20;1;9;0;1;2
"Cesar Azpilicueta";0;0;3;18;0;0;1;0;10;2;1;11;4;0;0;4
"Ilias Kostis";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Jan Oblak";0;0;0;6;1;0;0;0;0;0;3;1;0;0;0;0
"Javi Galan";1;0;1;2;0;0;0;0;0;0;3;0;0;1;0;0
"Koke";6;1;5;7;9;0;0;2;0;1;9;9;2;0;4;2
"Marcos Llorente";0;1;0;0;1;0;0;0;1;0;1;3;0;0;0;1
"Mario Hermoso";1;0;0;20;2;0;2;1;13;0;0;0;1;0;13;6
"Nahuel Molina";1;0;4;0;11;0;1;0;8;2;1;0;2;0;0;1
"Rodrigo de Paul";1;0;1;1;6;0;0;0;1;0;1;5;0;0;0;0
"Rodrigo Riquelme";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"Samuel Lino";0;0;2;4;0;0;0;0;5;0;13;2;1;0;0;2
"Saul Niguez";2;2;0;0;0;0;1;2;2;0;9;0;0;0;5;0
