"";"Andriy Lunin";"Antonio Rudiger";"Brahim Diaz";"Dani Carvajal";"Dani Ceballos";"David Alaba";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Lucas Vazquez";"Nacho Fernandez";"Nicolas Paz";"Rodrygo";"Toni Kroos"
"Andriy Lunin";0;5;0;0;0;5;0;4;0;0;0;0;0;0;0
"Antonio Rudiger";5;0;4;7;0;12;9;0;0;1;0;0;2;0;12
"Brahim Diaz";0;0;0;3;3;1;4;0;0;2;0;0;0;2;3
"Dani Carvajal";2;8;6;0;7;0;7;0;0;5;0;0;3;1;4
"Dani Ceballos";0;3;5;2;0;2;4;1;0;2;0;0;0;2;6
"David Alaba";2;10;0;0;0;0;6;7;0;1;0;0;0;1;14
"Federico Valverde";0;6;2;6;5;5;0;2;1;14;1;0;3;5;20
"Ferland Mendy";0;1;1;0;1;6;8;0;1;7;0;0;0;5;13
"Joselu";0;1;0;0;0;1;1;1;0;1;0;0;0;0;0
"Jude Bellingham";0;2;2;6;5;2;4;12;5;0;0;1;3;9;8
"Lucas Vazquez";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Nacho Fernandez";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"Nicolas Paz";0;0;0;1;0;0;2;1;1;3;0;0;0;0;2
"Rodrygo";0;0;4;0;0;0;4;3;0;10;0;0;1;0;6
"Toni Kroos";0;12;1;2;9;9;16;9;0;17;0;1;2;7;0
