"";"Anatoliy Trubin";"Angel Di Maria";"Antonio Silva";"Casper Tengstedt";"Chiquinho";"Florentino Luis";"Fredrik Aursnes";"Joao Mario";"Joao Neves";"Morato";"Nicolas Otamendi";"Orkun Kokcu";"Petar Musa";"Rafa Silva";"Tiago Gouveia";"Tomas Araujo "
"Anatoliy Trubin";0;0;0;0;0;1;2;0;0;0;1;0;0;1;0;1
"Angel Di Maria";0;0;1;0;0;7;4;6;7;2;1;0;0;6;0;0
"Antonio Silva";1;5;0;0;0;2;6;2;1;0;3;0;0;2;0;0
"Casper Tengstedt";0;1;0;0;0;2;0;1;0;1;0;0;0;1;0;0
"Chiquinho";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Florentino Luis";2;4;5;0;0;0;3;7;11;2;5;0;0;3;0;0
"Fredrik Aursnes";0;11;3;0;0;4;0;4;5;0;0;0;1;4;0;0
"Joao Mario";0;3;0;4;0;6;4;0;12;6;3;0;2;7;0;0
"Joao Neves";1;4;2;1;0;11;4;8;0;7;4;1;1;9;0;0
"Morato";2;0;1;2;0;3;0;8;12;0;10;1;0;4;0;0
"Nicolas Otamendi";2;2;4;0;0;4;2;1;4;8;0;1;0;0;0;0
"Orkun Kokcu";0;0;0;0;0;0;0;1;3;1;0;0;1;1;0;0
"Petar Musa";0;1;0;0;0;0;0;2;0;0;0;1;0;1;0;0
"Rafa Silva";0;9;1;3;0;7;1;6;3;0;1;1;1;0;0;0
"Tiago Gouveia";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Tomas Araujo ";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
