"";"Aleksandar Pavlovic";"Alphonso Davies";"Dayot Upamecano";"Frans Kratzig";"Harry Kane";"Joshua Kimmich";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Mathys Tel";"Raphael Guerreiro";"Serge Gnabry";"Thomas Muller"
"Aleksandar Pavlovic";0;3;2;0;0;11;0;2;2;2;1;0;0;1;0
"Alphonso Davies";4;0;21;0;2;5;6;1;8;3;0;7;9;0;0
"Dayot Upamecano";6;22;0;4;2;19;1;1;25;0;1;9;5;0;1
"Frans Kratzig";1;0;2;0;0;1;0;0;1;1;0;0;0;0;0
"Harry Kane";0;1;0;0;0;1;1;0;2;0;1;2;1;0;0
"Joshua Kimmich";4;4;13;1;1;0;3;13;17;3;1;3;9;2;4
"Kingsley Coman";0;3;0;0;1;3;0;5;6;0;0;1;4;0;4
"Konrad Laimer";3;0;3;0;0;11;8;0;33;0;0;2;1;5;4
"Leon Goretzka";7;3;42;0;1;19;3;27;0;0;7;0;7;2;2
"Leroy Sane";2;1;0;0;0;0;0;1;0;0;0;0;0;1;1
"Manuel Neuer";0;6;4;0;0;1;0;1;6;0;0;0;0;0;0
"Mathys Tel";0;5;3;0;2;4;1;1;1;0;0;0;3;0;2
"Raphael Guerreiro";0;6;9;0;2;3;4;1;3;0;0;3;0;0;4
"Serge Gnabry";1;0;0;0;0;4;0;5;1;0;0;0;0;0;0
"Thomas Muller";0;2;1;0;1;2;4;4;2;0;0;2;2;0;0
