"";"Alphonso Davies";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kingsley Coman";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Matthijs De Ligt";"Raphael Guerreiro";"Serge Gnabry"
"Alphonso Davies";0;8;0;7;2;0;2;0;0;1;1;5;6
"Eric Dier";6;0;2;4;2;0;3;0;0;11;13;1;0
"Harry Kane";0;0;0;2;0;1;1;1;1;0;0;0;1
"Jamal Musiala";4;3;1;0;0;2;4;2;0;0;0;3;2
"Joshua Kimmich";0;2;4;1;0;4;4;4;6;2;9;0;0
"Kingsley Coman";0;0;0;0;4;0;0;2;0;0;2;0;0
"Konrad Laimer";2;7;3;4;3;0;0;1;2;0;4;1;0
"Leon Goretzka";1;2;2;2;7;0;1;0;3;0;1;0;1
"Leroy Sane";0;0;1;2;2;0;0;3;0;0;2;0;1
"Manuel Neuer";1;10;0;0;3;0;1;1;0;0;3;0;1
"Matthijs De Ligt";2;9;0;0;8;3;0;3;4;4;0;0;0
"Raphael Guerreiro";3;2;0;3;0;0;0;0;0;0;0;0;0
"Serge Gnabry";4;1;0;1;1;0;3;1;0;0;0;0;0
