"";"Adam Marusic";"Ciro Immobile";"Daichi Kamada";"Danilo Cataldi";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luis Alberto";"Manuel Lazzari";"Mario Gila";"Matteo Guendouzi";"Nicolo Rovella";"Patric Gil";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;0;1;0;11;0;0;15;0;2;0;4;1;1;1
"Ciro Immobile";1;0;0;1;0;1;0;0;0;0;1;1;0;1;0
"Daichi Kamada";0;1;0;0;0;0;0;0;0;0;0;0;1;1;0
"Danilo Cataldi";0;0;1;0;0;2;0;0;3;1;0;0;0;4;0
"Felipe Anderson";5;0;0;0;0;3;0;6;0;3;1;5;0;0;0
"Gustav Isaksen";1;3;0;2;0;0;0;4;4;0;7;6;1;0;0
"Ivan Provedel";0;0;0;0;0;0;0;1;1;2;0;1;14;0;0
"Luis Alberto";12;3;0;0;11;1;2;0;0;6;3;8;3;2;0
"Manuel Lazzari";0;0;0;2;0;17;0;1;0;0;9;5;9;1;1
"Mario Gila";13;0;1;0;2;0;7;4;0;0;2;7;17;0;0
"Matteo Guendouzi";1;0;0;1;1;13;2;2;9;2;0;2;2;2;1
"Nicolo Rovella";2;0;0;0;2;1;3;14;3;3;3;0;14;1;2
"Patric Gil";1;0;0;1;0;1;4;4;17;15;10;7;0;1;0
"Pedro Rodriguez";0;0;0;3;0;0;0;3;1;2;3;1;1;0;0
"Taty Castellanos";1;0;0;0;1;0;0;2;0;0;0;0;0;0;0
