"";"Antonio Rudiger";"Aurelien Tchouameni";"Dani Carvajal";"Dani Ceballos";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Joselu";"Jude Bellingham";"Kepa Arrizabalaga";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Antonio Rudiger";0;11;3;0;1;6;0;0;1;8;0;3;0;6;0
"Aurelien Tchouameni";9;0;13;0;1;5;5;0;6;2;0;8;4;7;1
"Dani Carvajal";4;11;0;0;1;8;1;0;4;2;2;0;2;3;2
"Dani Ceballos";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Eduardo Camavinga";1;0;0;0;0;3;0;0;9;1;0;7;4;7;9
"Federico Valverde";2;11;7;0;0;0;0;0;9;0;1;2;3;5;0
"Ferland Mendy";0;4;0;0;0;1;0;0;3;0;1;3;0;0;6
"Joselu";0;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"Jude Bellingham";2;6;3;0;5;4;2;0;0;0;6;0;5;5;11
"Kepa Arrizabalaga";9;1;0;0;1;1;0;0;0;0;0;6;1;1;0
"Luka Modric";0;1;4;2;0;1;3;1;5;0;0;1;0;0;0
"Nacho Fernandez";4;7;0;0;7;1;4;0;4;6;3;0;1;6;0
"Rodrygo";0;2;3;0;3;6;0;0;2;0;1;0;0;1;4
"Toni Kroos";4;4;5;0;11;4;0;0;7;1;0;2;1;0;7
"Vinicius Junior";0;4;0;0;2;1;1;0;4;0;2;2;0;3;0
