"";"Alessandro Bastoni";"Alexis Sanchez";"Carlos Augusto";"Davide Frattesi";"Federico Dimarco";"Francesco Acerbi";"Hakan Calhanoglu";"Henrikh Mkhitaryan";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Bisseck";"Yann Sommer"
"Alessandro Bastoni";0;0;13;0;1;5;5;2;2;1;0;3;3;1;1;2
"Alexis Sanchez";0;0;2;3;0;1;1;3;0;0;1;0;0;0;1;0
"Carlos Augusto";6;2;0;0;0;5;0;8;2;0;4;0;2;1;0;0
"Davide Frattesi";1;1;1;0;0;1;1;0;3;2;1;12;0;1;3;0
"Federico Dimarco";1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"Francesco Acerbi";8;1;5;0;2;0;6;0;2;0;1;7;0;3;1;2
"Hakan Calhanoglu";3;3;1;3;0;7;0;6;0;0;0;1;0;0;6;1
"Henrikh Mkhitaryan";7;1;4;3;0;1;4;0;0;0;1;1;0;1;6;0
"Kristjan Asllani";4;0;3;1;0;2;0;1;0;1;2;1;1;2;0;0
"Lautaro Martinez";1;0;0;0;0;0;0;0;1;0;3;1;1;1;0;0
"Marcus Thuram";0;3;0;2;0;0;1;4;2;1;0;2;2;0;0;0
"Matteo Darmian";1;2;0;9;0;0;3;3;2;1;1;0;3;4;3;0
"Nicolo Barella";0;0;1;0;1;1;0;0;3;2;0;0;0;2;0;0
"Stefan de Vrij";3;0;0;3;0;0;2;1;0;2;4;5;2;0;0;2
"Yann Bisseck";2;1;0;3;0;3;3;1;0;0;1;4;0;0;0;4
"Yann Sommer";2;0;0;1;0;4;3;0;0;0;0;1;1;0;2;0
