"";"Adam Marusic";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Elseid Hysaj";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luis Alberto";"Manuel Lazzari";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Patric Gil";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;2
"Alessio Romagnoli";0;0;0;2;12;0;0;6;6;2;7;0;3;9;1;0
"Ciro Immobile";0;1;0;1;1;1;0;0;4;2;0;0;1;1;0;0
"Daichi Kamada";1;5;3;0;2;4;0;0;3;5;1;0;1;6;1;0
"Elseid Hysaj";0;7;1;0;0;0;0;3;6;0;2;0;10;0;1;0
"Felipe Anderson";0;0;2;3;0;0;0;1;0;5;3;0;1;4;0;0
"Gustav Isaksen";1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
"Ivan Provedel";1;4;0;0;1;1;0;0;2;1;4;0;0;7;0;0
"Luis Alberto";0;3;10;1;4;4;0;0;0;2;4;0;5;8;0;0
"Manuel Lazzari";0;1;0;8;1;8;1;0;3;0;7;2;0;13;0;0
"Matias Vecino";0;6;1;5;3;3;0;3;5;1;0;0;0;11;0;1
"Matteo Guendouzi";0;0;0;0;0;0;1;0;0;2;0;0;0;1;0;0
"Mattia Zaccagni";0;1;2;1;4;0;0;2;6;0;3;0;0;1;0;0
"Patric Gil";2;14;0;11;1;4;0;4;2;12;5;0;0;0;0;0
"Pedro Rodriguez";0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
"Taty Castellanos";0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
