"";"Achraf Hakimi";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marco Asensio";"Marquinhos";"Nuno Mendes";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;4;2;0;5;0;1;5;11;2;18;0;11;13
"Bradley Barcola";0;0;7;0;0;4;0;0;0;0;5;0;0;5;4
"Fabian Ruiz";2;8;0;0;0;5;4;0;0;0;7;0;0;6;1
"Gianluigi Donnarumma";2;0;0;0;0;0;6;0;0;6;3;1;0;1;0
"Kang-In Lee";2;0;0;0;0;3;0;2;1;0;2;1;1;0;0
"Kylian Mbappe";2;7;2;0;2;0;2;0;2;3;4;0;0;1;4
"Lucas Hernandez";2;3;3;6;0;1;0;0;0;17;21;0;0;8;2
"Manuel Ugarte";2;0;0;0;0;0;1;0;1;1;2;0;0;0;0
"Marco Asensio";4;0;0;0;3;0;1;1;0;0;0;0;0;1;0
"Marquinhos";18;0;1;8;0;1;22;1;0;0;2;10;0;5;3
"Nuno Mendes";0;8;10;1;3;7;14;2;0;5;0;3;0;13;1
"Ousmane Dembele";11;1;2;0;4;2;0;0;0;4;1;0;0;4;4
"Randal Kolo Muani";0;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"Vitinha Ferreira";5;6;5;1;1;1;7;0;1;13;8;5;0;0;6
"Warren Zaire-Emery";12;1;1;0;0;2;4;0;0;4;0;10;0;6;0
