"";"Adrien Thomasson";"Angelo Fulgini";"Brice Samba";"David Costa";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Massadio Haidara";"Morgan Guilavogui";"Nampalys Mendy";"Przemyslaw Frankowski";"Salis Samed";"Wesley Said"
"Adrien Thomasson";0;0;0;1;0;0;0;0;0;0;1;1;0;0;2;0
"Angelo Fulgini";0;0;0;0;1;2;4;1;0;0;0;0;2;0;6;0
"Brice Samba";0;0;0;0;1;0;3;0;4;2;0;0;0;2;0;0
"David Costa";0;0;0;0;1;0;2;0;1;1;0;0;0;3;1;0
"Deiver Machado";1;2;0;0;0;1;7;2;1;1;0;0;0;2;1;0
"Elye Wahi";0;0;0;0;1;0;2;0;0;0;0;0;3;2;0;0
"Facundo Medina";2;6;4;4;9;1;0;2;2;2;0;0;2;0;6;0
"Florian Sotoca";0;0;0;0;1;1;1;0;0;0;0;0;1;7;2;0
"Jonathan Gradit";0;0;6;1;1;0;1;1;0;0;0;1;1;12;5;1
"Kevin Danso";0;0;4;1;3;1;2;2;2;0;0;0;0;4;1;0
"Massadio Haidara";0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;1
"Morgan Guilavogui";1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"Nampalys Mendy";0;1;0;0;1;3;2;3;4;2;0;0;0;4;1;0
"Przemyslaw Frankowski";1;5;2;0;0;5;1;5;7;4;0;3;7;0;11;3
"Salis Samed";0;3;1;3;0;0;8;0;4;3;1;1;6;8;0;0
"Wesley Said";0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0
