"";"Alex Meret";"Amir Rrahmani";"Giacomo Raspadori";"Giovanni Di Lorenzo";"Giovanni Simeone";"Jens Cajuste";"Jesper Lindstrom";"Khvicha Kvaratskhelia";"Mario Rui";"Mathias Olivera";"Matteo Politano";"Natan";"Piotr Zielinski";"Stanislav Lobotka";"Zambo Anguissa"
"Alex Meret";0;7;0;2;0;0;0;0;3;2;0;5;0;1;0
"Amir Rrahmani";6;0;0;25;0;0;2;1;5;0;4;11;6;11;10
"Giacomo Raspadori";0;1;0;2;0;0;0;3;0;1;2;0;1;1;1
"Giovanni Di Lorenzo";2;16;5;0;3;0;3;5;0;1;13;4;13;13;13
"Giovanni Simeone";0;1;1;2;0;1;1;1;0;1;0;0;1;0;0
"Jens Cajuste";0;2;0;0;0;0;0;0;0;0;0;1;0;0;1
"Jesper Lindstrom";0;1;0;1;0;0;0;2;0;0;0;0;0;0;2
"Khvicha Kvaratskhelia";0;0;2;3;0;0;0;0;12;2;0;4;8;3;5
"Mario Rui";1;4;0;0;0;0;0;13;0;0;2;10;6;9;3
"Mathias Olivera";0;0;0;0;0;0;0;6;0;0;0;3;0;0;3
"Matteo Politano";0;3;2;13;2;0;0;3;1;0;0;1;5;4;4
"Natan";1;15;0;5;3;1;0;4;12;2;0;0;3;4;5
"Piotr Zielinski";0;3;5;6;0;0;0;6;5;1;8;5;0;6;12
"Stanislav Lobotka";1;11;1;8;0;0;0;6;12;0;6;3;7;0;7
"Zambo Anguissa";1;7;3;11;0;0;2;5;4;1;7;8;7;9;0
