"";"Alexis Sanchez";"Carlos Augusto";"Davide Frattesi";"Davy Klaassen";"Emil Audero";"Federico Dimarco";"Francesco Acerbi";"Juan Cuadrado";"Kristjan Asllani";"Lautaro Martinez";"Marcus Thuram";"Marko Arnautovic";"Matteo Darmian";"Nicolo Barella";"Stefan de Vrij";"Yann Bisseck"
"Alexis Sanchez";0;0;4;2;0;0;1;0;2;0;0;0;0;0;2;5
"Carlos Augusto";4;0;1;8;2;2;7;0;6;0;4;0;0;5;3;2
"Davide Frattesi";3;3;0;1;0;0;2;1;2;0;1;3;7;0;3;2
"Davy Klaassen";0;4;1;0;0;0;4;0;3;0;0;1;2;0;5;0
"Emil Audero";0;2;1;0;0;1;6;0;3;0;0;0;3;0;2;10
"Federico Dimarco";0;2;0;0;1;0;0;0;3;0;2;0;0;4;0;0
"Francesco Acerbi";1;25;0;2;3;1;0;1;8;0;0;0;0;0;25;10
"Juan Cuadrado";0;0;3;0;0;0;1;0;2;3;0;0;0;0;0;2
"Kristjan Asllani";4;3;5;1;1;0;15;5;0;0;0;0;7;0;3;14
"Lautaro Martinez";0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
"Marcus Thuram";0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0
"Marko Arnautovic";1;0;0;1;0;0;0;0;0;0;0;0;2;0;1;1
"Matteo Darmian";4;0;7;0;2;0;0;0;8;0;0;3;0;0;5;14
"Nicolo Barella";0;1;0;0;0;4;1;1;2;0;0;0;0;0;0;0
"Stefan de Vrij";1;1;0;2;3;0;32;0;13;0;0;0;1;0;0;31
"Yann Bisseck";3;0;11;1;9;0;5;3;9;0;0;1;18;1;27;0
