"";"Artem Bondarenko";"Danylo Sikan";"Dmytro Riznyk";"Eguinaldo";"Georgiy Sudakov";"Giorgi Gocholeishvili";"Irakli Azarovi";"Kevin Kelsy ";"Novatus Miroshi";"Oleksandr Zubkov";"Oleksiy Kashchuk";"Stav Lemkin";"Taras Stepanenko";"Yaroslav Rakitskyi";"Yegor Nazaryna";"Yukhym Konoplya"
"Artem Bondarenko";0;2;1;0;1;2;1;0;5;0;2;0;0;1;0;0
"Danylo Sikan";1;0;0;0;3;0;1;1;5;1;0;0;0;1;1;0
"Dmytro Riznyk";0;0;0;0;1;0;4;0;2;0;0;6;1;5;0;0
"Eguinaldo";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Georgiy Sudakov";1;3;0;0;0;1;0;0;5;2;0;4;3;2;4;0
"Giorgi Gocholeishvili";0;0;2;0;0;0;1;0;2;1;1;0;0;3;0;0
"Irakli Azarovi";5;2;2;1;1;1;0;0;6;0;2;0;0;2;1;0
"Kevin Kelsy ";0;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0
"Novatus Miroshi";2;4;4;1;7;3;4;3;0;0;0;1;1;10;2;0
"Oleksandr Zubkov";0;0;0;0;1;0;0;0;1;0;0;0;2;2;4;7
"Oleksiy Kashchuk";1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0
"Stav Lemkin";0;0;8;0;1;0;0;0;0;5;0;0;1;23;4;10
"Taras Stepanenko";0;0;0;0;3;0;0;1;0;0;0;3;0;3;1;1
"Yaroslav Rakitskyi";4;2;1;0;4;0;2;1;6;0;2;22;0;0;4;1
"Yegor Nazaryna";2;3;0;1;4;0;3;0;1;6;0;4;1;4;0;9
"Yukhym Konoplya";0;0;3;0;2;0;0;1;1;5;0;6;1;2;9;0
