"";"Andre Ramalho";"Guus Til";"Hirving Lozano";"Ismael Saibari";"Jerdy Schouten";"Joey Veerman";"Johan Bakayoko";"Jordan Teze";"Luuk de Jong";"Malik Tillman";"Olivier Boscagli";"Ricardo Pepi";"Sergino Dest";"Walter Benitez";"Yorbe Vertessen"
"Andre Ramalho";0;0;1;0;10;7;3;16;0;0;9;0;3;13;0
"Guus Til";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Hirving Lozano";0;0;0;2;4;3;1;0;1;2;0;0;3;0;0
"Ismael Saibari";0;1;0;0;0;0;0;1;0;0;0;0;0;0;1
"Jerdy Schouten";10;0;1;0;0;6;4;9;3;1;7;0;2;3;0
"Joey Veerman";5;0;8;0;1;0;3;8;4;5;4;0;9;0;0
"Johan Bakayoko";4;0;0;0;3;0;0;3;2;1;0;0;1;1;0
"Jordan Teze";27;0;0;1;12;5;5;0;0;1;3;0;0;4;0
"Luuk de Jong";0;0;4;1;1;2;0;0;0;3;0;0;4;0;0
"Malik Tillman";0;0;2;0;2;3;2;2;0;0;1;0;2;0;0
"Olivier Boscagli";6;0;1;0;4;7;0;3;1;1;0;0;10;3;0
"Ricardo Pepi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sergino Dest";1;0;7;0;2;14;0;3;3;2;8;0;0;4;1
"Walter Benitez";8;0;0;0;1;0;0;0;1;1;7;0;3;0;0
"Yorbe Vertessen";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
