"";"Abdukodir Khusanov";"Adrien Thomasson";"Angelo Fulgini";"Brice Samba";"David Costa";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Massadio Haidara";"Nampalys Mendy";"Neil El Aynaoui";"Przemyslaw Frankowski";"Salis Samed"
"Abdukodir Khusanov";0;0;1;4;0;0;1;0;0;0;2;1;1;2;2;0
"Adrien Thomasson";0;0;1;0;1;1;0;0;0;1;1;2;0;0;0;0
"Angelo Fulgini";1;1;0;0;2;2;1;2;4;1;0;5;3;1;4;1
"Brice Samba";2;0;2;0;0;1;0;1;0;4;5;3;0;0;2;0
"David Costa";2;0;0;1;0;2;0;0;0;0;1;1;0;0;1;0
"Deiver Machado";0;1;2;1;0;0;1;0;0;0;2;4;0;1;1;0
"Elye Wahi";1;0;3;0;1;0;0;0;2;1;0;0;2;0;1;3
"Facundo Medina";0;0;2;2;0;0;1;0;2;0;6;3;8;0;0;4
"Florian Sotoca";0;0;1;0;0;0;2;0;0;4;0;1;0;1;8;0
"Jonathan Gradit";0;0;3;6;0;0;1;1;3;0;14;0;3;1;8;1
"Kevin Danso";1;0;2;3;2;1;3;8;2;9;0;10;5;1;3;2
"Massadio Haidara";1;2;5;2;2;4;2;9;0;0;9;0;1;2;1;3
"Nampalys Mendy";1;0;2;1;0;0;2;3;1;10;5;2;0;0;5;1
"Neil El Aynaoui";1;1;0;0;0;2;2;0;0;0;1;1;0;0;1;0
"Przemyslaw Frankowski";2;2;2;0;1;0;4;0;6;14;4;1;8;2;0;0
"Salis Samed";0;0;3;2;0;0;0;3;1;0;1;1;4;0;0;0
