"";"Alphonso Davies";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Noussair Mazraoui";"Raphael Guerreiro";"Serge Gnabry";"Thomas Muller"
"Alphonso Davies";0;0;0;0;0;0;0;0;0;0;0;2;0;0
"Eric Dier";0;0;1;4;1;13;10;8;3;13;14;7;0;0
"Harry Kane";0;1;0;1;3;1;1;0;3;0;0;1;0;0
"Jamal Musiala";0;2;2;0;8;2;2;3;1;1;3;1;0;3
"Joshua Kimmich";0;6;2;8;0;15;14;4;3;0;0;3;1;5
"Kim Min-jae";0;13;1;2;13;0;15;7;1;10;0;1;1;6
"Konrad Laimer";0;9;1;9;16;14;0;7;3;1;3;3;0;5
"Leon Goretzka";0;5;3;1;4;3;7;0;3;1;11;0;0;1
"Leroy Sane";0;2;2;2;0;2;2;2;0;0;3;0;0;5
"Manuel Neuer";0;8;0;0;2;6;3;3;0;0;2;3;0;0
"Noussair Mazraoui";1;13;3;4;0;0;4;4;4;1;0;6;0;2
"Raphael Guerreiro";1;10;3;3;0;0;5;0;0;1;6;0;0;1
"Serge Gnabry";0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Thomas Muller";0;0;2;7;7;3;1;2;2;0;1;0;0;0
