"";"Abel Ruiz";"Al Musrati";"Alvaro Djalo";"Bruma";"Cristian Borja ";"Diogo Fonseca";"Joao Moutinho";"Joe Mendes";"Matheus";"Ricardo Horta";"Rodrigo Zalazar";"Serdar Saatci";"Sikou Niakate";"Simon Banza";"Vitor Carvalho"
"Abel Ruiz";0;0;0;2;0;1;0;0;0;0;0;0;0;0;0
"Al Musrati";0;0;3;0;2;2;0;12;0;6;3;9;6;0;7
"Alvaro Djalo";0;1;0;0;2;1;1;2;0;3;1;0;0;1;0
"Bruma";1;0;1;0;4;0;3;0;0;5;0;0;1;0;0
"Cristian Borja ";1;6;3;2;0;0;3;0;1;0;7;0;2;3;8
"Diogo Fonseca";0;0;2;0;1;0;0;0;1;0;4;1;0;0;0
"Joao Moutinho";0;0;2;4;0;5;0;0;0;2;1;1;5;0;0
"Joe Mendes";0;12;1;0;0;0;0;0;0;3;1;4;0;0;3
"Matheus";0;1;0;0;2;1;1;2;0;0;0;3;9;0;3
"Ricardo Horta";1;3;3;2;5;0;3;4;0;0;5;0;0;1;1
"Rodrigo Zalazar";1;8;0;1;5;2;1;2;1;8;0;0;2;0;2
"Serdar Saatci";0;7;1;0;2;2;1;3;5;2;1;0;6;0;6
"Sikou Niakate";0;6;1;4;5;0;4;0;2;1;5;3;0;1;6
"Simon Banza";0;1;1;0;0;0;0;1;0;0;1;0;1;0;0
"Vitor Carvalho";0;11;1;0;3;0;0;4;2;2;3;10;4;0;0
