"";"Alan Varela";"Diogo Costa";"Evanilson";"Francisco Conceicao";"Galeno";"Goncalo Borges";"Ivan Jaime";"Joao Mario";"Nico Gonzalez";"Otavio";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Toni Martinez";"Wendell"
"Alan Varela";0;1;2;2;0;0;0;2;0;3;3;7;0;0;1
"Diogo Costa";1;0;0;0;1;0;0;5;0;14;1;1;0;0;0
"Evanilson";0;0;0;2;0;0;0;0;2;2;0;3;0;0;3
"Francisco Conceicao";0;0;1;0;0;0;0;4;1;0;5;3;0;0;0
"Galeno";0;0;0;3;0;0;1;0;0;1;0;1;0;0;0
"Goncalo Borges";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Ivan Jaime";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Joao Mario";4;1;0;5;0;0;0;0;1;1;7;5;0;0;0
"Nico Gonzalez";0;1;0;1;1;0;0;1;0;0;1;1;0;0;0
"Otavio";0;13;1;0;0;0;0;0;3;0;3;0;0;1;4
"Pepe_14926";8;12;0;1;0;0;0;2;1;3;0;1;0;0;1
"Pepe_66499";2;0;5;2;0;0;0;2;0;0;1;0;1;0;0
"Stephen Eustaquio";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Toni Martinez";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Wendell";1;2;3;2;0;0;0;1;0;6;1;0;0;0;0
