"";"Christian Sorensen";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Elias Jelert";"Jordan Larsson";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Nicolai Boilesen";"Orri Oskarsson";"Peter Ankersen";"Rasmus Falk";"Roony Bardghji";"Viktor Claesson"
"Christian Sorensen";0;0;0;5;0;1;0;7;0;0;3;7;0;4;0;1
"Denis Vavro";0;0;0;0;4;0;4;24;2;0;0;0;12;8;1;1
"Diogo Goncalves";0;0;0;3;5;0;0;3;0;1;0;0;2;8;0;0
"Elias Achouri";2;0;5;0;2;0;0;2;0;1;0;0;0;4;2;1
"Elias Jelert";0;5;5;6;0;0;1;16;1;0;1;0;0;12;1;1
"Jordan Larsson";3;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0
"Kamil Grabara";2;2;0;0;1;0;0;8;0;0;0;0;0;1;0;0
"Kevin Diks";7;23;2;2;18;0;6;0;2;2;2;0;0;20;1;3
"Lukas Lerager";0;0;0;1;1;0;0;1;0;3;0;0;2;3;0;2
"Mohamed Elyounoussi";0;1;2;0;0;0;0;0;3;0;0;0;2;0;0;4
"Nicolai Boilesen";3;0;0;0;0;0;0;4;0;0;0;0;0;3;1;1
"Orri Oskarsson";1;0;0;0;0;2;0;1;0;0;0;0;0;0;0;2
"Peter Ankersen";0;13;2;0;0;0;1;1;2;2;0;0;0;5;0;1
"Rasmus Falk";4;7;9;1;12;1;0;11;1;6;3;0;5;0;2;7
"Roony Bardghji";1;1;0;2;3;0;0;0;0;0;0;0;0;1;0;0
"Viktor Claesson";3;2;1;1;1;3;0;1;1;2;0;0;1;6;0;0
