"";"Fermin Lopez";"Ferran Torres";"Frenkie de Jong";"Ilkay Gundogan";"Inigo Martinez";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Marc-Andre ter Stegen";"Pau Cubarsi";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo"
"Fermin Lopez";0;0;0;1;0;0;1;1;0;0;0;0;1;0;0
"Ferran Torres";0;0;0;2;0;0;0;0;0;0;1;0;2;2;0
"Frenkie de Jong";0;0;0;1;0;2;0;2;0;2;2;1;2;1;6
"Ilkay Gundogan";1;2;2;0;1;1;0;4;1;2;0;1;4;1;0
"Inigo Martinez";0;0;0;3;0;2;1;1;0;4;0;0;1;1;0
"Joao Cancelo";0;1;4;2;3;0;0;0;0;1;1;4;1;3;0
"Joao Felix";0;1;0;0;0;0;0;0;0;0;1;0;0;1;0
"Jules Kounde";2;2;3;1;1;0;2;0;1;4;2;1;0;1;4
"Lamine Yamal";0;0;0;2;0;0;0;2;0;0;0;0;0;1;0
"Marc-Andre ter Stegen";0;0;2;1;3;0;0;0;0;0;4;3;0;1;2
"Pau Cubarsi";0;0;0;0;0;2;0;2;0;3;0;0;2;2;0
"Pedri";0;0;0;1;0;3;0;2;1;0;2;0;1;4;2
"Raphinha";1;1;2;2;0;2;0;0;1;1;0;0;0;2;0
"Robert Lewandowski";0;1;1;4;1;4;0;0;1;0;0;0;2;0;0
"Ronald Araujo";0;0;3;1;0;0;0;1;0;6;0;0;1;2;0
