"";"Alhassan Yusuf";"Arthur Vermeeren";"Chidera Ejuke";"George Ilenikhena";"Gyrano Kerk";"Jean Butez";"Jelle Bataille";"Kobe Corbanie";"Mandela Keita";"Owen Wijndal";"Ritchie De Laet";"Soumaila Coulibaly";"Toby Alderweireld";"Van Den Bosch";"Vincent Janssen"
"Alhassan Yusuf";0;1;8;1;1;0;1;0;3;2;2;0;2;0;5
"Arthur Vermeeren";3;0;2;0;4;0;0;0;0;0;4;0;0;0;3
"Chidera Ejuke";10;2;0;0;1;0;0;0;3;9;0;5;1;0;1
"George Ilenikhena";1;0;0;0;0;0;0;0;0;0;0;2;0;0;0
"Gyrano Kerk";2;2;0;0;0;0;0;0;1;0;6;0;0;0;1
"Jean Butez";0;0;0;0;0;0;0;0;0;1;1;5;2;0;0
"Jelle Bataille";0;0;0;1;0;0;0;0;1;1;0;1;0;0;0
"Kobe Corbanie";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"Mandela Keita";3;2;3;0;0;0;0;0;0;2;4;4;0;0;1
"Owen Wijndal";2;0;9;0;0;1;0;0;2;0;0;5;0;0;5
"Ritchie De Laet";2;3;0;1;5;1;0;0;1;0;0;0;3;0;3
"Soumaila Coulibaly";0;0;5;0;0;10;1;0;1;3;0;0;5;0;0
"Toby Alderweireld";1;0;0;0;0;3;0;0;0;0;1;1;0;0;1
"Van Den Bosch";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Vincent Janssen";5;4;2;0;0;0;2;0;2;2;0;0;0;0;0
