"";"Alexander Isak";"Anthony Gordon";"Bruno Guimaraes";"Fabian Schar";"Jamaal Lascelles";"Joelinton";"Kieran Trippier";"Lewis Miley";"Miguel Almiron";"Nick Pope";"Tino Livramento"
"Alexander Isak";0;1;0;1;0;1;1;3;2;0;3
"Anthony Gordon";2;0;2;1;0;2;0;1;0;0;5
"Bruno Guimaraes";1;5;0;1;1;3;7;5;0;0;3
"Fabian Schar";0;0;3;0;1;5;3;0;0;2;6
"Jamaal Lascelles";0;0;1;5;0;1;5;0;0;2;0
"Joelinton";4;3;6;3;1;0;0;1;1;1;5
"Kieran Trippier";1;0;9;2;5;4;0;6;10;2;0
"Lewis Miley";3;1;0;0;1;3;2;0;7;0;0
"Miguel Almiron";0;0;2;1;0;1;6;5;0;1;1
"Nick Pope";0;0;0;3;1;0;2;0;0;0;0
"Tino Livramento";2;10;4;3;0;6;1;0;1;1;0
