"";"Alan Varela";"Danny Namaso";"David Carmo";"Diogo Costa";"Evanilson";"Fabio Cardoso";"Francisco Conceicao";"Galeno";"Ivan Jaime";"Joao Mario";"Mehdi Taremi";"Nico Gonzalez";"Pepe";"Romario Baro";"Stephen Eustaquio";"Wendell"
"Alan Varela";0;0;7;1;2;5;0;2;0;4;0;0;3;2;2;1
"Danny Namaso";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
"David Carmo";5;0;0;8;0;3;0;1;0;0;2;1;0;2;0;12
"Diogo Costa";1;0;8;0;0;4;0;1;1;1;1;0;0;1;0;4
"Evanilson";1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"Fabio Cardoso";5;1;3;6;0;0;1;0;0;4;0;2;3;2;1;0
"Francisco Conceicao";0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;2
"Galeno";1;0;0;0;0;0;0;0;0;0;1;0;0;0;4;9
"Ivan Jaime";0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3
"Joao Mario";4;0;0;2;0;4;0;0;0;0;0;0;2;3;0;0
"Mehdi Taremi";0;0;1;0;0;0;0;1;0;1;0;0;1;1;2;1
"Nico Gonzalez";0;0;1;0;0;3;3;0;1;0;0;0;2;0;0;1
"Pepe";0;1;0;1;0;0;3;1;0;2;1;3;0;3;4;2
"Romario Baro";5;0;1;0;0;1;0;1;0;3;0;0;1;0;1;0
"Stephen Eustaquio";2;0;2;1;0;2;0;6;0;1;3;0;2;3;0;3
"Wendell";9;0;8;2;0;2;1;3;5;1;2;1;3;0;5;0
