"";"Achraf Hakimi";"Bradley Barcola";"Fabian Ruiz";"Gianluigi Donnarumma";"Goncalo Ramos";"Kang-In Lee";"Kylian Mbappe";"Lucas Hernandez";"Manuel Ugarte";"Marquinhos";"Milan Skriniar";"Nordi Mukiele";"Ousmane Dembele";"Randal Kolo Muani";"Vitinha Ferreira";"Warren Zaire-Emery"
"Achraf Hakimi";0;0;2;0;1;3;0;1;0;7;1;2;21;2;2;5
"Bradley Barcola";0;0;0;0;0;1;1;0;0;2;0;0;1;0;0;0
"Fabian Ruiz";0;1;0;2;0;1;3;0;0;6;4;3;0;0;0;5
"Gianluigi Donnarumma";1;0;1;0;0;0;0;0;0;4;10;0;0;0;1;1
"Goncalo Ramos";4;0;0;0;0;0;1;0;0;0;2;1;0;0;0;0
"Kang-In Lee";1;1;3;0;1;0;5;1;0;4;1;3;2;0;0;2
"Kylian Mbappe";3;2;1;0;2;6;0;3;0;1;0;2;2;0;11;1
"Lucas Hernandez";0;0;0;0;0;1;11;0;2;2;14;0;0;0;6;0
"Manuel Ugarte";2;0;0;0;0;0;0;2;0;3;1;0;2;0;1;0
"Marquinhos";9;1;4;3;3;0;2;0;1;0;30;1;7;0;0;9
"Milan Skriniar";3;0;4;2;0;5;9;21;3;20;0;9;1;0;7;6
"Nordi Mukiele";3;0;1;0;0;4;3;0;0;3;7;0;2;0;0;1
"Ousmane Dembele";6;1;0;0;1;0;4;0;0;0;0;0;0;1;1;2
"Randal Kolo Muani";0;0;0;0;0;0;2;0;0;1;0;0;1;0;1;1
"Vitinha Ferreira";4;0;0;0;0;0;5;7;3;1;6;0;2;1;0;4
"Warren Zaire-Emery";7;1;3;1;0;1;3;0;1;7;4;3;4;1;1;0
