"";"Dayot Upamecano";"Eric Dier";"Harry Kane";"Jamal Musiala";"Joshua Kimmich";"Kim Min-jae";"Konrad Laimer";"Leon Goretzka";"Leroy Sane";"Manuel Neuer";"Matthijs De Ligt";"Noussair Mazraoui";"Raphael Guerreiro"
"Dayot Upamecano";0;0;0;0;0;0;0;0;0;0;0;0;0
"Eric Dier";0;0;0;14;2;5;8;3;0;9;11;10;7
"Harry Kane";0;1;0;3;1;0;0;0;0;0;0;0;0
"Jamal Musiala";0;6;1;0;1;4;1;3;0;0;0;5;5
"Joshua Kimmich";0;3;1;3;0;0;7;11;14;3;15;0;1
"Kim Min-jae";0;3;1;2;0;0;1;0;0;2;0;0;3
"Konrad Laimer";0;9;2;0;3;0;0;2;1;2;7;2;2
"Leon Goretzka";0;6;1;0;9;0;1;0;6;0;7;1;0
"Leroy Sane";0;0;0;1;17;0;1;3;0;2;0;1;0
"Manuel Neuer";0;12;0;1;3;1;2;1;0;0;6;4;0
"Matthijs De Ligt";0;15;0;0;15;0;2;5;4;8;0;0;1
"Noussair Mazraoui";0;6;2;6;0;0;3;0;0;3;0;0;7
"Raphael Guerreiro";0;2;2;3;1;1;2;1;1;1;2;5;0
