"";"Adria Pedrosa";"Boubakary Soumare";"Djibril Sow";"Dodi Lukebakio";"Erik Lamela";"Fernando";"Ivan Rakitic";"Jesus Navas";"Juanlu Sanchez ";"Lucas Ocampos";"Mariano Diaz";"Marko Dmitrovic";"Nemanja Gudelj";"Sergio Ramos";"Suso";"Youssef En-Nesyri"
"Adria Pedrosa";0;3;6;4;0;5;1;0;0;6;0;0;3;12;0;1
"Boubakary Soumare";1;0;0;1;0;2;0;0;0;0;1;0;1;2;0;0
"Djibril Sow";3;0;0;0;2;1;5;0;5;1;0;0;3;3;0;1
"Dodi Lukebakio";1;1;0;0;0;0;1;2;0;1;0;0;0;1;1;0
"Erik Lamela";2;0;0;0;0;4;2;0;1;1;0;0;0;1;0;3
"Fernando";8;1;2;0;3;0;1;1;3;5;0;2;5;12;0;1
"Ivan Rakitic";1;0;1;0;4;5;0;0;0;3;0;0;3;3;0;1
"Jesus Navas";0;0;0;0;0;1;0;0;0;0;0;0;2;2;4;0
"Juanlu Sanchez ";1;0;1;1;7;6;1;0;0;6;0;3;9;1;1;2
"Lucas Ocampos";4;2;6;1;3;0;2;1;2;0;1;0;1;3;3;0
"Mariano Diaz";0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0
"Marko Dmitrovic";2;0;1;0;0;2;0;0;0;0;0;0;3;4;0;0
"Nemanja Gudelj";2;0;1;1;0;8;4;2;14;0;0;4;0;13;0;0
"Sergio Ramos";12;0;5;1;1;4;1;0;2;2;0;7;17;0;0;0
"Suso";0;1;0;0;0;1;0;2;0;3;0;0;0;1;0;0
"Youssef En-Nesyri";1;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0
