"";"Alex Balde";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Gavi";"Ilkay Gundogan";"Joao Cancelo";"Joao Felix";"Lamine Yamal";"Marc-Andre ter Stegen";"Marcos Alonso";"Oriol Romeu";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo"
"Alex Balde";0;6;0;0;0;3;0;4;0;0;0;0;5;0;0;3
"Andreas Christensen";4;0;0;3;3;24;13;4;0;6;7;3;5;3;1;26
"Fermin Lopez";1;0;0;0;0;2;0;1;3;0;0;0;2;0;0;0
"Ferran Torres";0;4;0;0;0;4;1;0;0;0;7;0;0;1;0;2
"Gavi";0;1;0;1;0;1;0;1;2;0;1;1;0;6;2;2
"Ilkay Gundogan";1;11;2;4;2;0;20;2;8;1;6;6;8;0;1;10
"Joao Cancelo";0;11;1;0;5;10;0;1;13;1;0;4;3;15;2;19
"Joao Felix";7;1;1;0;0;1;0;0;1;0;0;0;6;0;1;2
"Lamine Yamal";0;0;5;0;0;6;11;1;0;0;0;0;0;0;1;2
"Marc-Andre ter Stegen";0;5;1;0;0;2;2;0;0;0;2;1;0;0;0;7
"Marcos Alonso";0;9;0;10;1;4;0;0;0;0;0;3;0;0;1;1
"Oriol Romeu";0;4;0;4;2;5;5;0;0;0;1;0;0;3;0;6
"Pedri";5;0;1;0;0;6;2;6;3;0;0;0;0;0;1;1
"Raphinha";0;3;0;1;2;1;5;0;0;0;1;5;0;0;2;4
"Robert Lewandowski";0;0;0;0;4;1;1;3;0;0;1;0;0;1;0;1
"Ronald Araujo";2;32;0;1;2;12;15;3;3;6;2;9;4;3;1;0
