"";"Birger Meling";"Denis Vavro";"Diogo Goncalves";"Elias Achouri";"Jordan Larsson";"Kamil Grabara";"Kevin Diks";"Lukas Lerager";"Mohamed Elyounoussi";"Orri Oskarsson";"Peter Ankersen";"Rasmus Falk";"Roony Bardghji";"Valdemar Lund";"Viktor Claesson"
"Birger Meling";0;0;5;6;0;0;7;2;3;0;2;6;1;1;4
"Denis Vavro";0;0;0;1;0;8;5;1;0;0;12;6;0;1;2
"Diogo Goncalves";4;1;0;2;0;2;4;0;3;0;2;2;0;0;3
"Elias Achouri";3;0;3;0;0;0;1;1;1;0;2;3;0;0;1
"Jordan Larsson";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"Kamil Grabara";1;9;0;0;0;0;11;1;0;0;1;1;0;1;0
"Kevin Diks";11;8;2;1;0;5;0;2;1;0;1;7;0;0;4
"Lukas Lerager";1;1;3;0;0;0;0;0;1;0;5;2;1;1;3
"Mohamed Elyounoussi";3;0;0;0;0;0;0;1;0;0;2;5;0;0;3
"Orri Oskarsson";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
"Peter Ankersen";0;8;3;2;0;5;1;5;0;1;0;5;4;1;1
"Rasmus Falk";5;9;5;5;1;0;3;2;1;0;5;0;1;4;6
"Roony Bardghji";1;1;0;0;0;0;0;0;1;0;1;3;0;0;1
"Valdemar Lund";2;1;0;0;0;2;0;0;0;0;1;1;0;0;1
"Viktor Claesson";2;1;4;2;0;1;0;2;3;0;4;5;1;1;0
