"";"Ben White";"Bukayo Saka";"David Raya";"Declan Rice";"Gabriel Magalhaes";"Gabriel Martinelli";"Jakub Kiwior";"Jorginho";"Kai Havertz";"Leandro Trossard";"Martin Odegaard";"William Saliba"
"Ben White";0;4;3;8;9;0;0;0;0;1;4;11
"Bukayo Saka";3;0;0;2;1;0;2;1;3;1;7;6
"David Raya";0;0;0;0;3;0;1;1;2;0;1;2
"Declan Rice";6;1;1;0;7;4;10;2;3;3;8;11
"Gabriel Magalhaes";1;0;3;17;0;3;5;1;4;2;5;29
"Gabriel Martinelli";0;0;0;0;2;0;5;1;4;0;2;3
"Jakub Kiwior";0;0;0;8;12;14;0;0;4;5;1;2
"Jorginho";2;0;0;1;1;0;1;0;1;0;0;2
"Kai Havertz";0;0;0;2;1;7;6;1;0;2;1;2
"Leandro Trossard";0;1;1;1;0;1;1;0;0;0;3;2
"Martin Odegaard";3;16;1;4;5;1;3;1;2;0;0;7
"William Saliba";17;8;2;13;19;0;2;2;0;2;12;0
