"";"Adam Marusic";"Alessio Romagnoli";"Ciro Immobile";"Daichi Kamada";"Danilo Cataldi";"Elseid Hysaj";"Felipe Anderson";"Gustav Isaksen";"Ivan Provedel";"Luis Alberto";"Manuel Lazzari";"Mario Gila";"Matteo Guendouzi";"Patric Gil";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;5;2;4;0;0;2;6;0;3;0;3;6;0;3;1
"Alessio Romagnoli";2;0;1;0;9;5;1;0;6;5;1;11;1;7;0;0
"Ciro Immobile";0;0;0;0;1;0;4;1;0;2;0;1;0;0;0;0
"Daichi Kamada";0;0;0;0;2;0;0;0;0;0;0;0;1;0;1;0
"Danilo Cataldi";3;7;2;1;0;1;4;1;0;5;1;3;1;2;0;0
"Elseid Hysaj";0;6;3;0;1;0;6;0;1;4;0;0;0;0;0;0
"Felipe Anderson";3;1;2;0;3;4;0;0;2;12;4;1;1;2;0;0
"Gustav Isaksen";2;0;3;0;0;0;0;0;0;2;0;1;6;0;0;0
"Ivan Provedel";2;6;0;0;0;1;0;1;0;0;1;12;1;0;1;0
"Luis Alberto";3;5;3;0;3;2;8;1;1;0;0;3;5;0;0;0
"Manuel Lazzari";0;0;0;0;1;0;3;1;0;0;0;3;1;3;0;0
"Mario Gila";7;8;1;0;7;2;1;1;5;3;3;0;8;0;0;0
"Matteo Guendouzi";4;2;2;1;2;0;3;5;0;2;1;6;0;2;0;1
"Patric Gil";1;5;0;0;2;0;3;0;0;0;1;0;2;0;0;0
"Pedro Rodriguez";1;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0
"Taty Castellanos";0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
