"";"Andre Ramalho";"Armando Obispo";"Fredrik Oppegard";"Guus Til";"Isaac Babadi";"Ismael Saibari";"Johan Bakayoko";"Jordan Teze";"Malik Tillman";"Mauro Junior ";"Patrick van Aanholt";"Ricardo Pepi";"Sergino Dest";"Walter Benitez";"Yorbe Vertessen"
"Andre Ramalho";0;15;0;1;2;3;9;7;3;1;2;1;0;11;0
"Armando Obispo";11;0;0;0;1;3;0;0;3;14;8;0;0;6;3
"Fredrik Oppegard";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"Guus Til";0;0;0;0;2;0;0;1;0;0;0;1;0;0;0
"Isaac Babadi";1;0;0;3;0;0;0;2;0;1;0;0;2;1;0
"Ismael Saibari";5;5;0;0;0;0;1;0;0;2;2;2;0;0;0
"Johan Bakayoko";8;1;0;0;0;0;0;4;6;1;0;0;0;1;1
"Jordan Teze";11;3;0;0;0;2;3;0;0;2;4;2;4;0;0
"Malik Tillman";0;1;0;0;0;1;5;1;0;2;2;2;0;1;1
"Mauro Junior ";1;7;0;0;2;2;1;2;2;0;3;2;1;3;4
"Patrick van Aanholt";3;5;0;0;0;2;3;2;3;4;0;1;0;2;1
"Ricardo Pepi";0;2;0;0;0;1;1;2;0;1;1;0;0;0;3
"Sergino Dest";0;1;0;0;2;0;0;3;0;0;0;0;0;0;0
"Walter Benitez";5;8;0;0;0;2;0;0;2;4;1;0;0;0;0
"Yorbe Vertessen";0;2;0;0;1;2;0;0;1;3;2;0;0;1;0
