"";"Alex Balde";"Ferran Torres";"Frenkie de Jong";"Ilkay Gundogan";"Inaki Pena";"Inigo Martinez";"Joao Cancelo";"Joao Felix";"Jules Kounde";"Lamine Yamal";"Pedri";"Raphinha";"Robert Lewandowski";"Ronald Araujo"
"Alex Balde";0;3;0;0;0;0;0;0;0;0;0;0;1;0
"Ferran Torres";0;0;0;0;0;1;1;0;0;0;0;0;1;0
"Frenkie de Jong";0;1;0;12;0;5;2;4;8;0;4;2;3;1
"Ilkay Gundogan";0;0;8;0;2;8;0;1;7;1;5;8;0;3
"Inaki Pena";0;0;4;4;0;2;1;0;11;0;2;0;0;0
"Inigo Martinez";0;0;7;2;5;0;13;2;14;0;2;0;2;2
"Joao Cancelo";0;0;4;2;1;9;0;11;1;0;1;2;1;0
"Joao Felix";0;0;0;0;0;2;7;0;0;0;1;0;2;0
"Jules Kounde";0;0;8;5;13;10;0;0;0;0;3;3;1;12
"Lamine Yamal";0;0;0;0;0;0;0;0;0;0;1;0;0;0
"Pedri";1;0;6;4;0;3;1;0;3;1;0;5;1;4
"Raphinha";0;0;1;7;0;1;0;1;2;0;3;0;3;5
"Robert Lewandowski";0;0;2;2;0;1;3;1;0;0;2;1;0;2
"Ronald Araujo";0;0;2;0;1;0;0;0;11;0;7;9;3;0
