"";"Aleksandar Dragovic";"Aleksandar Katai";"Cherif Ndiaye";"Guelor Kanga";"In-beom Hwang";"Jean-Philippe Krasso";"Jovan Mijatovic";"Kosta Nedeljkovic";"Marko Stamenic";"Milan Rodic";"Mirko Ivanic";"Nasser Djiga";"Omri Glazer";"Osman Bukari";"Srdjan Mijailovic";"Vladimir Lucic"
"Aleksandar Dragovic";0;0;0;0;5;0;0;2;0;10;1;8;8;0;3;6
"Aleksandar Katai";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Cherif Ndiaye";0;0;0;0;1;0;0;0;0;1;2;0;0;1;0;0
"Guelor Kanga";1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0
"In-beom Hwang";4;0;1;0;0;1;1;3;2;3;3;0;0;5;3;2
"Jean-Philippe Krasso";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2
"Jovan Mijatovic";0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;1
"Kosta Nedeljkovic";2;0;0;1;5;2;1;0;6;0;1;7;0;2;2;0
"Marko Stamenic";0;0;1;0;2;0;0;6;0;1;2;3;0;0;2;0
"Milan Rodic";2;0;3;1;9;0;0;0;0;0;3;0;0;4;1;7
"Mirko Ivanic";2;0;2;0;3;0;0;0;1;1;0;0;0;3;2;0
"Nasser Djiga";8;0;0;0;1;1;1;10;1;0;0;0;7;1;1;0
"Omri Glazer";11;0;0;0;2;0;0;2;0;1;0;5;0;0;1;2
"Osman Bukari";0;1;0;0;3;2;1;4;0;1;0;0;0;0;1;1
"Srdjan Mijailovic";4;0;1;0;3;0;0;1;2;0;2;2;0;2;0;0
"Vladimir Lucic";2;1;0;1;3;2;2;0;0;6;0;1;1;2;0;0
