"";"Bernardo Silva";"Jack Grealish";"John Stones";"Kalvin Phillips";"Mahamadou Susoho";"Manuel Akanji";"Mateo Kovacic";"Matheus Nunes";"Micah Hamilton";"Nathan Ake";"Oscar Bobb";"Phil Foden";"Rico Lewis";"Sergio Gomez";"Stefan Ortega"
"Bernardo Silva";0;0;0;0;1;1;0;0;3;0;2;0;0;0;1
"Jack Grealish";0;0;1;1;0;3;2;3;1;0;0;0;0;2;0
"John Stones";0;0;0;8;0;2;4;6;0;0;5;3;9;5;11
"Kalvin Phillips";0;2;6;0;1;7;9;9;2;0;3;1;6;6;9
"Mahamadou Susoho";2;0;0;3;0;2;0;1;1;0;0;1;1;1;1
"Manuel Akanji";0;5;3;5;2;0;5;4;1;0;1;0;5;10;22
"Mateo Kovacic";0;1;5;12;0;7;0;4;6;0;2;4;0;4;5
"Matheus Nunes";0;1;2;6;0;2;3;0;5;0;9;3;11;1;2
"Micah Hamilton";0;1;1;1;0;1;3;2;0;0;3;2;5;9;0
"Nathan Ake";0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
"Oscar Bobb";4;0;3;5;2;0;4;11;3;0;0;0;2;1;1
"Phil Foden";0;0;0;1;0;1;5;1;2;0;2;0;2;5;0
"Rico Lewis";2;0;20;6;2;4;0;6;5;0;6;2;0;3;1
"Sergio Gomez";0;6;2;5;5;12;9;3;2;0;2;1;6;0;6
"Stefan Ortega";0;1;3;10;1;9;9;4;0;0;4;5;3;4;0
