"";"Adam Marusic";"Ciro Immobile";"Daichi Kamada";"Elseid Hysaj";"Felipe Anderson";"Ivan Provedel";"Luca Pellegrini";"Luis Alberto";"Manuel Lazzari";"Mario Gila";"Matias Vecino";"Matteo Guendouzi";"Mattia Zaccagni";"Nicolo Casale";"Pedro Rodriguez";"Taty Castellanos"
"Adam Marusic";0;0;0;0;0;1;0;0;0;0;3;5;0;6;5;0
"Ciro Immobile";0;0;0;1;0;0;0;0;0;0;1;0;3;0;0;0
"Daichi Kamada";0;0;0;2;0;0;3;0;1;2;3;0;2;1;0;2
"Elseid Hysaj";0;1;0;0;0;1;0;3;0;11;5;2;14;0;1;0
"Felipe Anderson";0;0;2;0;0;0;0;0;3;0;4;5;1;2;0;1
"Ivan Provedel";1;1;0;2;2;0;0;0;2;1;2;0;0;6;1;0
"Luca Pellegrini";0;0;4;0;0;0;0;0;0;2;1;0;3;1;0;2
"Luis Alberto";0;5;0;6;0;2;0;0;0;5;3;1;1;2;0;0
"Manuel Lazzari";0;0;1;0;6;0;1;0;0;1;2;5;0;2;0;0
"Mario Gila";2;0;2;9;0;9;4;5;1;0;12;2;0;9;0;0
"Matias Vecino";4;0;1;6;2;1;2;4;3;11;0;7;2;5;0;0
"Matteo Guendouzi";5;0;1;0;4;1;0;1;6;2;3;0;1;4;3;0
"Mattia Zaccagni";0;0;4;2;0;0;2;4;1;5;1;1;0;0;0;0
"Nicolo Casale";3;0;0;5;2;3;1;3;3;10;6;5;0;0;3;1
"Pedro Rodriguez";4;1;0;0;0;0;0;4;0;0;1;2;0;4;0;0
"Taty Castellanos";0;0;2;0;0;0;1;0;1;1;0;2;0;0;0;0
