"";"Andriy Lunin";"Antonio Rudiger";"Brahim Diaz";"Dani Carvajal";"Eduardo Camavinga";"Federico Valverde";"Ferland Mendy";"Jude Bellingham";"Luka Modric";"Nacho Fernandez";"Rodrygo";"Toni Kroos";"Vinicius Junior"
"Andriy Lunin";0;6;0;0;0;0;1;0;0;2;0;0;0
"Antonio Rudiger";7;0;0;6;0;3;0;3;0;5;1;2;0
"Brahim Diaz";0;0;0;0;1;0;0;0;0;0;0;0;0
"Dani Carvajal";2;5;0;0;4;5;0;6;1;2;0;1;2
"Eduardo Camavinga";3;3;0;2;0;1;4;3;0;1;3;3;2
"Federico Valverde";0;3;0;7;7;0;0;3;1;2;3;2;2
"Ferland Mendy";3;0;0;0;3;0;0;3;0;5;4;9;1
"Jude Bellingham";0;2;0;1;3;8;3;0;0;1;3;2;2
"Luka Modric";0;1;1;0;1;1;0;0;0;0;0;0;0
"Nacho Fernandez";5;6;0;0;1;1;4;0;1;0;1;2;2
"Rodrygo";0;0;0;1;2;0;4;1;0;0;0;3;5
"Toni Kroos";2;2;0;4;6;4;5;3;0;3;4;0;1
"Vinicius Junior";0;0;1;1;1;3;4;3;0;0;3;2;0
