"";"Adrien Thomasson";"Andy Diouf";"Angelo Fulgini";"Brice Samba";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Nampalys Mendy";"Przemyslaw Frankowski";"Ruben Aguilar";"Salis Samed";"Wesley Said"
"Adrien Thomasson";0;0;0;0;3;0;3;1;0;2;4;3;0;0;0
"Andy Diouf";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Angelo Fulgini";0;1;0;0;0;0;0;0;0;0;0;2;0;0;0
"Brice Samba";0;0;0;0;1;0;2;0;1;3;0;1;0;0;0
"Deiver Machado";2;0;0;0;0;2;7;1;0;0;1;0;0;0;0
"Elye Wahi";4;0;1;0;0;0;0;2;0;0;0;0;0;2;0
"Facundo Medina";4;0;1;2;3;2;0;1;3;1;2;2;0;5;0
"Florian Sotoca";0;2;0;0;0;3;0;0;5;2;6;3;0;1;0
"Jonathan Gradit";2;1;0;7;0;0;0;7;0;7;3;4;0;0;0
"Kevin Danso";0;0;0;4;1;1;7;3;7;0;1;1;0;2;0
"Nampalys Mendy";1;0;0;1;2;1;2;6;5;6;0;6;0;2;0
"Przemyslaw Frankowski";1;0;1;0;0;1;0;3;5;1;5;0;0;2;0
"Ruben Aguilar";0;0;0;0;0;0;0;3;0;0;0;0;0;0;1
"Salis Samed";1;0;0;1;2;0;2;0;4;3;2;0;0;0;0
"Wesley Said";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
