"";"Antoni Milambo";"Ayase Ueda";"Calvin Stengs";"David Hancko";"Gernot Trauner";"Igor Paixao";"Justin Bijlow";"Leo Sauer";"Luka Ivanusec";"Lutsharel Geertruida";"Mats Wieffer";"Ondrej Lingr";"Quilindschy Hartman";"Quinten Timber";"Santiago Gimenez";"Yankuba Minteh"
"Antoni Milambo";0;1;1;0;0;0;0;1;3;7;3;4;0;0;1;0
"Ayase Ueda";1;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0
"Calvin Stengs";1;1;0;1;1;2;0;0;0;6;6;0;4;3;1;2
"David Hancko";1;1;0;0;15;1;3;4;2;7;5;1;20;1;0;2
"Gernot Trauner";0;0;5;5;0;1;6;0;0;18;1;0;6;0;0;1
"Igor Paixao";0;0;5;1;0;0;0;0;0;2;2;0;1;4;1;0
"Justin Bijlow";0;0;0;3;2;0;0;0;1;0;3;0;3;0;0;0
"Leo Sauer";2;1;0;1;0;0;0;0;1;0;0;2;2;0;0;0
"Luka Ivanusec";1;1;0;2;0;0;0;0;0;0;2;3;3;1;0;0
"Lutsharel Geertruida";7;0;4;13;10;5;3;0;0;0;9;2;2;0;0;18
"Mats Wieffer";0;0;2;9;5;0;1;2;0;9;0;5;10;10;1;5
"Ondrej Lingr";4;0;3;3;0;0;0;0;1;4;3;0;0;0;0;0
"Quilindschy Hartman";3;0;2;14;4;4;2;2;2;4;7;0;0;2;0;1
"Quinten Timber";0;0;1;6;2;3;0;0;0;3;1;0;4;0;1;3
"Santiago Gimenez";0;0;0;0;0;0;0;0;1;1;0;0;0;2;0;0
"Yankuba Minteh";0;0;9;0;0;0;0;0;0;5;2;0;2;2;0;0
