"";"Bernardo Silva";"Ederson";"Erling Haaland";"Jack Grealish";"Jeremy Doku";"John Stones";"Kevin De Bruyne";"Kyle Walker";"Matheus Nunes";"Nathan Ake";"Phil Foden";"Rodri";"Ruben Dias"
"Bernardo Silva";0;0;0;4;6;3;4;3;0;9;6;7;6
"Ederson";1;0;0;0;0;3;0;5;0;4;0;3;7
"Erling Haaland";1;0;0;0;1;0;0;1;0;0;3;1;0
"Jack Grealish";1;0;0;0;0;1;2;1;0;7;1;2;4
"Jeremy Doku";6;0;1;0;0;4;1;3;0;6;1;3;5
"John Stones";5;0;1;0;2;0;10;17;3;10;14;12;9
"Kevin De Bruyne";6;2;1;4;5;5;0;4;1;5;10;6;4
"Kyle Walker";3;8;4;0;0;21;7;0;0;0;20;12;36
"Matheus Nunes";0;0;1;0;2;0;1;1;0;5;2;0;1
"Nathan Ake";12;3;0;9;11;4;9;6;3;0;1;17;24
"Phil Foden";2;1;0;0;2;7;14;21;2;2;0;7;8
"Rodri";10;1;0;3;5;13;7;12;1;14;7;0;12
"Ruben Dias";1;6;0;1;2;17;5;21;2;34;4;26;0
