"";"Alexander Schlager";"Amar Dedic";"Dijon Kameri";"Dorgeles Nene";"Fernando dos Santos";"Kamil Piatkowski";"Lucas Gourna-Douath";"Luka Sucic";"Mads Bidstrup";"Oscar Gloukh";"Petar Ratkov";"Roko Simic";"Samson Baidoo";"Sekou Koita";"Strahinja Pavlovic"
"Alexander Schlager";0;4;0;0;0;8;7;1;0;0;0;0;0;0;11
"Amar Dedic";2;0;1;1;1;2;4;6;0;6;1;0;0;0;1
"Dijon Kameri";0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
"Dorgeles Nene";0;1;0;0;0;0;2;2;0;4;0;0;0;0;0
"Fernando dos Santos";0;0;0;0;0;0;1;3;0;0;0;0;0;1;0
"Kamil Piatkowski";8;1;0;0;0;0;6;0;0;1;0;0;11;1;11
"Lucas Gourna-Douath";2;3;1;2;2;6;0;6;4;2;1;0;5;0;9
"Luka Sucic";0;6;0;1;2;2;4;0;2;5;0;0;2;2;4
"Mads Bidstrup";0;0;0;0;0;2;2;0;0;2;1;0;6;1;0
"Oscar Gloukh";1;2;0;5;1;1;2;2;1;0;0;0;1;1;3
"Petar Ratkov";0;0;0;1;0;1;0;0;2;1;0;0;0;0;0
"Roko Simic";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Samson Baidoo";2;0;0;0;0;10;5;4;5;4;0;0;0;1;1
"Sekou Koita";0;0;0;0;2;0;1;0;1;0;0;0;0;0;0
"Strahinja Pavlovic";14;5;0;0;0;5;5;8;0;3;1;0;0;0;0
