"";"Adrien Thomasson";"Andy Diouf";"Angelo Fulgini";"Brice Samba";"Deiver Machado";"Elye Wahi";"Facundo Medina";"Florian Sotoca";"Jonathan Gradit";"Kevin Danso";"Massadio Haidara";"Morgan Guilavogui";"Nampalys Mendy";"Przemyslaw Frankowski";"Salis Samed"
"Adrien Thomasson";0;1;0;0;1;0;0;1;0;0;0;0;0;0;1
"Andy Diouf";3;0;0;0;2;0;1;0;1;0;0;1;0;1;1
"Angelo Fulgini";0;0;0;0;4;3;2;2;1;0;0;1;1;2;2
"Brice Samba";0;0;0;0;2;0;6;1;2;1;1;0;0;0;0
"Deiver Machado";0;4;8;1;0;1;9;0;0;0;0;1;4;0;2
"Elye Wahi";0;0;1;0;0;0;1;1;0;0;0;0;0;0;0
"Facundo Medina";0;2;7;5;7;0;0;0;0;5;0;0;8;0;3
"Florian Sotoca";0;2;1;0;1;5;0;0;2;1;1;2;1;10;2
"Jonathan Gradit";0;0;1;1;0;0;0;4;0;2;0;0;1;5;3
"Kevin Danso";0;0;1;4;1;0;2;5;2;0;0;1;1;1;1
"Massadio Haidara";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Morgan Guilavogui";1;0;1;0;0;0;0;2;0;0;0;0;0;1;0
"Nampalys Mendy";0;0;4;0;3;1;4;0;2;0;0;0;0;0;2
"Przemyslaw Frankowski";0;0;2;1;0;2;0;10;5;2;0;1;0;0;4
"Salis Samed";0;1;2;0;2;1;5;4;5;3;0;0;0;1;0
