"";"Alex Remiro";"Ander Barrene";"Andre Silva";"Arsen Zakharyan";"Benat Turrientes";"Brais Mendez";"Hamari Traore";"Igor Zubeldia";"Javi Galan";"Jon Aramburu";"Jon Pacheco";"Martin Zubimendi";"Mikel Merino";"Robin Le Normand";"Takefusa Kubo";"Umar Sadiq"
"Alex Remiro";0;1;0;0;0;0;1;1;0;1;0;2;1;1;0;0
"Ander Barrene";0;0;4;0;0;1;2;0;2;0;0;2;2;3;3;0
"Andre Silva";0;0;0;0;0;3;0;1;1;0;0;2;3;2;4;0
"Arsen Zakharyan";0;0;1;0;0;2;0;0;1;1;0;0;2;1;1;0
"Benat Turrientes";0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;1
"Brais Mendez";0;3;2;1;0;0;4;0;1;0;0;3;3;1;4;0
"Hamari Traore";2;0;3;0;1;4;0;1;0;0;0;1;0;0;9;0
"Igor Zubeldia";4;0;3;0;0;2;2;0;0;0;0;2;0;0;3;0
"Javi Galan";0;8;2;1;0;1;0;0;0;0;0;2;5;6;0;0
"Jon Aramburu";0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1
"Jon Pacheco";1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"Martin Zubimendi";3;2;3;0;0;3;3;7;1;0;0;0;3;6;4;0
"Mikel Merino";1;5;3;1;0;1;0;0;4;0;0;4;0;4;1;2
"Robin Le Normand";14;2;0;0;0;0;0;2;8;0;0;5;5;0;0;0
"Takefusa Kubo";0;1;3;0;1;4;3;0;0;0;1;3;2;0;0;1
"Umar Sadiq";0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0
