"";"Alan Varela";"Andre Franco";"David Carmo";"Diogo Costa";"Evanilson";"Francisco Conceicao";"Galeno";"Joao Mario";"Jorge Sanchez";"Marko Grujic";"Mehdi Taremi";"Nico Gonzalez";"Pepe_14926";"Pepe_66499";"Stephen Eustaquio";"Wendell"
"Alan Varela";0;0;6;0;0;0;3;2;1;0;0;0;4;3;2;0
"Andre Franco";1;0;2;3;1;0;4;4;0;0;1;0;1;1;0;0
"David Carmo";1;4;0;5;0;0;2;3;0;1;0;1;8;0;1;4
"Diogo Costa";1;0;4;0;0;0;1;2;1;0;0;0;8;1;2;0
"Evanilson";0;1;1;0;0;1;2;2;1;0;2;0;0;4;1;0
"Francisco Conceicao";0;0;0;0;0;0;0;2;0;0;0;1;1;0;0;0
"Galeno";0;1;1;0;2;1;0;1;0;0;8;1;0;2;2;3
"Joao Mario";0;4;0;3;2;1;1;0;0;1;2;0;6;4;1;0
"Jorge Sanchez";3;0;0;1;2;0;0;0;0;1;0;0;1;1;1;0
"Marko Grujic";0;0;4;0;0;0;0;0;0;0;1;0;1;0;0;0
"Mehdi Taremi";2;0;0;0;2;0;2;0;0;0;0;1;1;1;1;0
"Nico Gonzalez";0;0;0;1;2;2;1;0;0;2;0;0;0;0;0;0
"Pepe_14926";6;2;5;10;0;0;0;6;2;1;1;1;0;5;1;0
"Pepe_66499";1;1;1;0;3;0;2;1;1;0;1;0;3;0;4;0
"Stephen Eustaquio";1;1;3;1;1;0;3;0;1;0;1;0;3;5;0;3
"Wendell";3;1;5;1;0;0;0;1;0;0;0;0;0;0;5;0
