"";"Alireza Jahanbakhsh";"Antoni Milambo";"Ayase Ueda";"Bart Nieuwkoop";"Calvin Stengs";"David Hancko";"Gernot Trauner";"Igor Paixao";"Justin Bijlow";"Luka Ivanusec";"Lutsharel Geertruida";"Mats Wieffer";"Quilindschy Hartman";"Quinten Timber";"Ramiz Zerrouki";"Santiago Gimenez"
"Alireza Jahanbakhsh";0;0;1;0;3;0;0;0;0;1;4;3;0;1;0;0
"Antoni Milambo";2;0;0;0;0;1;0;0;0;1;0;2;0;0;0;1
"Ayase Ueda";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Bart Nieuwkoop";0;0;0;0;2;0;0;0;0;0;1;2;0;0;0;1
"Calvin Stengs";3;0;0;0;0;2;2;3;1;0;12;4;1;1;2;6
"David Hancko";1;0;1;0;1;0;25;7;10;3;5;20;27;3;5;0
"Gernot Trauner";0;0;0;0;10;23;0;0;8;0;30;7;1;1;5;1
"Igor Paixao";0;0;0;0;3;0;0;0;0;0;0;1;7;6;2;1
"Justin Bijlow";0;1;0;0;1;15;13;0;0;0;6;2;2;0;1;0
"Luka Ivanusec";0;1;0;0;1;2;0;0;0;0;0;0;5;0;0;0
"Lutsharel Geertruida";5;2;0;3;10;11;27;0;5;0;0;15;1;0;3;2
"Mats Wieffer";5;1;0;1;9;20;5;1;2;1;13;0;2;4;4;3
"Quilindschy Hartman";1;0;0;0;0;19;3;7;5;3;0;4;0;5;10;2
"Quinten Timber";0;0;0;0;1;0;0;6;0;0;0;1;5;0;1;1
"Ramiz Zerrouki";1;0;0;1;5;4;8;2;1;0;1;8;8;1;0;1
"Santiago Gimenez";1;0;0;0;1;1;0;2;0;0;0;5;1;1;3;0
