"";"Alex Balde";"Andreas Christensen";"Fermin Lopez";"Ferran Torres";"Hector Fort";"Ilkay Gundogan";"Inaki Pena";"Joao Cancelo";"Jules Kounde";"Lamine Yamal";"Marc Casado";"Marc Guiu";"Oriol Romeu";"Pedri";"Robert Lewandowski";"Sergi Roberto"
"Alex Balde";0;15;0;14;0;3;2;0;4;1;3;0;4;3;2;8
"Andreas Christensen";15;0;0;10;0;5;3;1;19;1;5;0;6;2;1;7
"Fermin Lopez";0;0;0;3;1;0;0;0;1;5;0;0;1;0;2;0
"Ferran Torres";7;4;1;0;0;5;0;1;3;5;1;0;1;1;3;5
"Hector Fort";0;1;2;1;0;0;1;0;7;7;0;0;7;0;0;1
"Ilkay Gundogan";1;4;0;4;0;0;1;10;4;4;1;0;0;4;0;0
"Inaki Pena";0;5;0;0;1;1;0;0;6;0;1;0;3;0;0;1
"Joao Cancelo";1;0;0;2;0;4;0;0;2;8;2;0;0;6;0;1
"Jules Kounde";0;19;1;2;14;6;5;3;0;3;2;1;11;2;2;7
"Lamine Yamal";2;1;3;6;4;4;0;3;3;0;0;1;4;4;0;2
"Marc Casado";1;2;0;2;0;0;0;0;5;2;0;0;0;3;0;0
"Marc Guiu";0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0
"Oriol Romeu";4;8;3;1;6;0;0;0;11;0;0;0;0;0;1;6
"Pedri";3;4;0;3;0;3;0;4;1;2;0;1;0;0;0;1
"Robert Lewandowski";2;1;1;1;0;0;0;0;1;5;0;0;0;1;0;0
"Sergi Roberto";12;4;0;4;1;1;1;1;7;2;0;0;5;0;2;0
