"";"Aihen Munoz";"Alex Remiro";"Ander Barrene";"Aritz Elustondo";"Benat Turrientes";"Brais Mendez";"Carlos Fernandez";"Hamari Traore";"Igor Zubeldia";"Jon Pacheco";"Martin Zubimendi";"Mikel Merino";"Mikel Oyarzabal";"Mohamed Cho";"Robin Le Normand";"Takefusa Kubo"
"Aihen Munoz";0;0;12;0;0;2;1;0;1;3;2;10;0;7;7;0
"Alex Remiro";3;0;0;0;0;0;0;1;3;0;0;0;0;0;1;0
"Ander Barrene";3;0;0;0;0;3;0;3;2;0;5;5;0;0;0;2
"Aritz Elustondo";0;1;0;0;1;0;0;0;0;0;1;0;3;0;0;0
"Benat Turrientes";1;0;0;0;0;0;1;1;0;0;0;0;3;0;0;0
"Brais Mendez";2;0;1;0;0;0;1;7;1;0;2;3;4;1;0;8
"Carlos Fernandez";0;0;0;0;1;0;0;1;0;0;0;1;4;0;0;0
"Hamari Traore";0;1;0;0;1;14;0;0;14;0;7;1;2;0;0;5
"Igor Zubeldia";1;6;0;0;0;0;0;14;0;2;0;1;0;0;7;1
"Jon Pacheco";2;0;0;0;0;0;0;0;2;0;2;0;0;0;0;0
"Martin Zubimendi";6;0;2;0;2;6;0;4;3;0;0;8;4;0;1;2
"Mikel Merino";14;0;3;0;0;4;1;0;2;1;9;0;5;1;4;0
"Mikel Oyarzabal";1;0;2;2;2;2;4;2;3;0;3;2;0;2;0;3
"Mohamed Cho";1;0;0;0;0;0;2;0;0;0;1;4;0;0;0;0
"Robin Le Normand";9;4;0;0;0;1;0;3;4;0;0;1;0;0;0;0
"Takefusa Kubo";2;0;4;0;0;4;0;1;0;0;1;3;0;0;0;0
